timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;;;20: frq7-.1;21: frq7-.2;22: frq7-.3;23: frq9+.2;24: frq9+.3;;25: frq10+.1;26: frq10+.3
1440;249.858;133.272;40.318;68.26;;;44.478;147.342;103.966;7.059;27.088;;54.763;314.361
1450;251.925;129.902;46.4;60.325;;;37.855;159.905;117.143;16.84;23.009;;42.618;324.325
1460;256.664;125.978;52.497;54.895;;;34.691;172.856;129.034;23.918;18.816;;32.084;325.605
1470;263.286;126.564;58.618;50.744;;;31.077;184.966;142.987;31.057;14.425;;23.374;321.892
1480;269.777;127.313;63.897;46.987;;;26.745;194.499;158.092;36.012;10.657;;15.505;318.281
1490;273.821;127.461;69.139;43.219;;;21.288;202.354;174.414;40.974;7.136;;7.166;315.354
1500;277.553;130.812;73.089;39.046;;;17.284;209.44;187.779;46.471;3.619;;-0.347;313.759
1510;279.887;133.744;77.062;36.014;;;15.257;215.775;197.295;51.858;-1.35;;-8.752;311.826
1520;281.259;136.498;83.423;32.459;;;12.836;219.892;206.879;57.7;-6.107;;-19.312;308.528
1530;283.227;140.857;89.963;28.828;;;10.68;223.788;216.369;61.209;-10.49;;-30.752;297.968
1540;284.523;145.901;96.434;25.421;;;9.386;227.831;230.991;66.691;-14.564;;-41.871;287.192
1550;284.024;149.727;102.853;21.293;;;9.636;233.209;242.56;71.601;-18.023;;-52.861;274.596
1560;283.791;156.084;108.406;17.062;;;10.204;239.889;250.149;74.56;-21.792;;-64.841;261.057
1570;282.979;161.088;113.937;12.149;;;10.551;243.863;257.862;75.797;-26.701;;-79.139;247.884
1580;281.578;169.493;116.102;6.693;;;11.4;245.188;268.564;78.599;-34.116;;-90.387;233.041
1590;277.263;172.749;115.858;0.998;;;16.639;243.447;277.9;79.467;-39.711;;-101.307;216.493
1600;269.612;176.04;115.64;-4.895;;;18.673;240.714;285.132;80.419;-46.534;;-108.884;199.803
1610;259.159;176.756;110.225;-13.888;;;15.393;232.559;283.777;80.308;-56.97;;-117.963;175.36
1620;250.12;179.872;104.378;-22.521;;;10.855;221.389;278.661;79.796;-66.445;;-128.699;143.677
