timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
740;-220.72;-133.56;-137.595;-108.6;-262.246;-155.785;11.235;-59.437;-52.629;-48.412;-51.813;9.641;-45.986;-178.916;-152.704
750;-203.734;-125.168;-127.342;-100.16;-255.432;-158.326;16.066;-55.842;-47.884;-47.288;-47.089;11.77;-45.066;-176.473;-143.83
760;-188.92;-117.947;-122.987;-92.653;-239.333;-160.72;19.747;-52.027;-44.613;-46.853;-43.28;13;-44.173;-178.613;-136.16
770;-175.961;-111.003;-119.674;-86.039;-225.109;-157.24;22.563;-48.806;-41.783;-44.803;-41.355;14.464;-43.48;-178.789;-124.217
780;-164.528;-104.857;-116.796;-78.222;-212.646;-154.332;25.106;-44.822;-39.199;-43.319;-39.648;15.887;-42.01;-179.09;-113.742
790;-154.368;-98.265;-115.735;-71.235;-201.65;-148.949;27.697;-39.645;-34.205;-42.017;-38.543;16.645;-39.188;-180.372;-104.487
800;-142.626;-92.021;-114.837;-65.887;-191.884;-144.039;29.914;-34.374;-29.669;-40.088;-37.142;17.324;-37;-180.071;-95.79
810;-132.05;-86.362;-114.075;-61.112;-183.163;-140.625;32.137;-29.713;-26.15;-38.875;-36;16.638;-35.05;-179.15;-88.05
820;-122.474;-80.54;-110.614;-56.162;-175.333;-137.263;34.228;-25.471;-22.982;-37.903;-34.61;16.228;-34.414;-180.233;-84.841
830;-113.763;-75.213;-107.519;-51.695;-165.182;-134.271;35.723;-22.081;-20.271;-36.19;-32.884;15.428;-34.042;-177.389;-81.815
840;-105.107;-71.005;-103.306;-47.418;-156.496;-131.207;36.341;-19.762;-17.97;-34.006;-31.103;14.616;-33.731;-177.343;-79.108
850;-97.119;-65.994;-98.917;-43.512;-148.613;-128.429;36.262;-19.387;-15.845;-32.417;-28.512;13.435;-33.452;-175.851;-78.988
860;-89.762;-61.395;-94.887;-41.652;-141.435;-125.859;36.428;-19.087;-13.824;-30.414;-26.009;12.614;-33.341;-175.576;-78.911
870;-75.389;-45.286;-81.191;-33.51;-125.326;-121.099;45.43;-10.162;-0.639;-23.871;-18;14.575;-31.537;-151.853;-67.183
880;-60.858;-28.534;-66.64;-25.391;-109.188;-118.09;54.976;-1.906;12.832;-18.512;-11.286;17.006;-29.862;-141.261;-55.411
890;-46.558;-11.78;-52.106;-17.294;-93.022;-115.29;58.307;1.667;24.004;-13.902;-6.672;17.313;-27.986;-133.198;-43.618
900;-32.256;5.066;-43.222;-8.338;-77.91;-112.476;61.714;5.509;29.711;-10.753;-2.53;16.497;-25.94;-130.161;-39.565
910;-17.951;12.831;-34.338;0.453;-62.693;-106.411;61.796;5.716;31.909;-8.109;0.151;15.956;-23.684;-125.156;-34.209
920;-3.644;17.716;-25.454;9.228;-47.454;-100.807;61.466;5.521;32.05;-5.842;1.728;14.644;-21.419;-122.338;-28.835
930;11.504;22.623;-22.746;18.827;-32.191;-95.54;59.297;3.901;31.591;-4.133;4.018;13.046;-19.396;-120.089;-27.843
940;26.652;23.13;-20.025;28.41;-25.347;-90.394;56.714;2.705;31.53;-2.825;5.861;12.805;-17.24;-118.695;-26.381
950;41.799;22.316;-16.693;31.449;-18.482;-76.556;54.366;0.534;31.723;-0.998;7.424;13.226;-14.05;-117.643;-24.906
960;50.145;21.501;-14.661;34.48;-12.516;-62.023;50.472;-1.594;30.084;-1.208;10.863;13.918;-11.661;-109.937;-23.101
970;57.651;18.618;-12.605;38.304;-6.53;-48.814;47.286;-3.374;27.86;-1.897;13.692;12.614;-10.753;-105.572;-22.497
980;65.311;16.219;-13.165;42.12;-0.03;-26.008;45.765;-4.71;26.84;-2.213;16.208;11.492;-10.555;-101.111;-21.876
990;72.968;13.823;-13.62;45.14;6.478;-2.152;43.201;-5.133;27.765;-1.287;16.582;10.364;-10.339;-94.46;-22.839
1000;75.741;12.858;-14.055;48.154;12.995;14.198;41.107;-4.667;27.885;0.111;17.013;8.698;-9.674;-88.185;-24.848
1010;77.47;11.3;-12.49;51.36;13.32;31.65;39.39;-5.18;27.65;1.72;16.81;7.32;-8.96;-79.29;-26.84
1020;79.117;9.749;-10.934;54.56;13.653;37.533;38.25;-6.501;27.49;2.402;17.591;5.383;-8.758;-70.948;-30.457
1030;80.762;8.117;-9.386;56.336;12.833;42.859;37.387;-8.823;27.244;3.857;18.976;3.594;-9.117;-63.925;-33.44
1040;82.405;5.694;-5.817;58.107;12.021;46.067;35.596;-12.296;23.986;4.601;20.755;2.366;-10.961;-55.061;-36.421
1050;82.127;3.238;-2.269;58.195;11.581;42.677;33.937;-15.136;18.939;4.471;22.39;2.617;-11.559;-46.202;-37.173
1060;81.756;1.086;3.419;58.278;11.141;39.676;31.512;-20.23;14.301;5.248;24.425;4.072;-11.122;-36.874;-37.918
1070;81.383;-1.625;5.548;57.222;10.701;39.483;29.761;-25.786;9.501;6.652;26.108;6.674;-9.981;-27.229;-35.538
1080;81.008;-2.093;7.677;56.173;7.541;39.747;28.886;-30.153;5.524;6.659;27.13;6.309;-8.971;-20.35;-33.157
1090;79.991;-2.559;8.246;55.091;4.381;38.571;28.319;-33.226;1.75;5.12;26.635;5.99;-8.593;-10.666;-30.758
1100;78.132;-4.281;8.063;54.016;2.302;36.908;27.675;-34.816;-3.449;3.864;25.232;7.134;-8.107;-0.389;-25.863
1110;76.335;-4.678;7.893;54.731;-0.451;35.213;26.478;-35.827;-8.087;2.278;22.951;8.829;-6.762;9.313;-22.224
1120;74.534;-5.071;7.559;55.451;-3.191;31.286;26.031;-35.96;-12.182;0.41;20.581;10.37;-5.714;17.217;-18.574
1130;72.571;-6.154;7.237;56.376;-5.92;29.208;25.067;-35.355;-16.05;-0.181;19.25;9.904;-4.859;24.499;-15.315
1140;69.726;-7.952;6.926;57.305;-8.637;34.896;23.124;-35.326;-20.44;-1.641;18.118;10.291;-4.241;28.867;-9.069
1150;66.746;-9.744;8.154;57.974;-10.263;40.643;20.422;-35.065;-23.181;-2.149;18.097;10.271;-4.269;31.799;-2.829
1160;63.765;-11.141;9.384;58.637;-11.878;38.595;17.543;-35.223;-25.026;-2.233;17.197;11.169;-4.809;35.273;2.163
1170;60.784;-9.66;9.258;58.293;-9.403;36.371;15.011;-35.26;-26.978;-2.394;16.856;10.545;-4.751;39.581;6.147
1180;57.083;-7.861;8.488;56.907;-7.541;34.515;12.8;-35.284;-29.476;-3.016;15.753;10.243;-4.525;44.74;10.122
1190;53.645;-5.801;7.713;55.519;-5.658;29.866;9.948;-35.305;-31.723;-4.277;14.612;8.858;-4.126;48.186;13.85
1200;50.207;-2.427;10.055;52.809;-3.756;16.89;10.561;-35.858;-33.218;-5.7;12.816;9.778;-5.082;54.581;15.755
1210;46.768;2.26;12.168;50.097;-0.913;10.355;11.735;-39.025;-34.937;-5.97;8.735;10.307;-6.082;54.358;17.663
1220;44.17;6.941;14.282;46.731;1.948;4.425;11.105;-42.645;-36.812;-4.92;4.374;11.794;-6.978;55.275;20.495
1230;41.691;10.931;18.622;43.361;4.828;-8.153;7.773;-46.737;-39.537;-3.535;0.299;11.544;-7.338;57.975;25.951
1240;39.124;15.879;22.96;39.386;9.366;-20.837;5.464;-49.133;-43.117;-3.075;-2.414;11.054;-7.294;57.925;31.407
1250;36.557;20.825;27.297;35.407;14.06;-26.007;2.585;-50.636;-45.326;-2.715;-3.911;12.092;-6.525;59.385;36.126
1260;35.032;26.36;33.888;31.312;18.768;-33.264;-0.256;-50.44;-47.752;-2.728;-4.584;12.272;-5.248;62.312;40.848
