timepoints (min);16: frq7+.1;17: frq7+.2;;18: frq1-.1;19: frq1-.2;20: frq1-.3;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
2860;-171.004;16.977;;-74.662;-2.99;0.07;0.177;36.309;66.115;-61.626;351.268;-149.506;-51.503;35.275;55.527
2870;-171.257;28.6;;-79.061;-9.495;-3.596;5.411;46.142;77.658;-68.96;363.692;-151.385;-66.488;45.589;50.437
2880;-170.548;42.494;;-83.897;-16.579;-7.959;10.446;56.139;89.444;-75.87;372.679;-153.112;-81.487;55.341;45.161
2890;-168.073;54.508;;-88.76;-23.691;-12.524;16.284;65.041;101.592;-79.266;379.72;-153.679;-93.577;64.923;40.109
2900;-164.395;68.564;;-93.326;-31.119;-17.09;22.85;74.261;113.051;-81.23;385.959;-155.441;-102.37;73.822;35.633
2910;-158.67;80.977;;-97.946;-37.697;-21.65;29.484;82.538;125.586;-85.106;392.207;-157.754;-111.549;80.741;31.177
2920;-153.15;91.349;;-101.549;-44.321;-26.85;36.629;91.19;138.483;-92.003;397.309;-160.178;-121.463;85.632;25.639
2930;-147.327;102.604;;-105.2;-49.93;-32.099;45.908;98.25;149.872;-99.142;399.854;-161.444;-130.135;91.028;20.52
2940;-140.992;115.71;;-107.566;-55.786;-38.292;55.255;105.054;162.719;-106.188;400.35;-161.996;-139.048;96.241;17.161
2950;-133.887;129.057;;-109.426;-60.852;-44.725;65.611;111.159;173.714;-112.8;399.154;-163.001;-145.397;100.553;13.786
2960;-123.636;142.028;;-111.37;-65.109;-51.861;76.466;117.444;183.935;-120.073;396.793;-164.266;-152.126;106.019;8.948
2970;-113.579;154.811;;-112.563;-69.4;-58.316;87.443;125.549;193.506;-126.586;393.232;-166.559;-157.546;112.404;4.266
2980;-105.455;169.088;;-113.131;-73.152;-64.681;100.283;139.51;203.498;-133.068;387.378;-168.346;-161.079;117.065;0.058
2990;-98.303;184.679;;-113.782;-75.985;-69.59;116.286;153.817;213.706;-139.011;380.491;-169.72;-164.327;121.083;-4.208
3000;-91.283;201.789;;-113.337;-78.608;-74.499;130.81;167.272;224.195;-143.415;372.823;-170.251;-165.378;126.768;-8.434
3010;-82.406;218.986;;-113.37;-80.268;-78.008;147.257;179.865;232.932;-145.028;364.022;-169.459;-168.444;131.371;-13.553
3020;-73.301;233.857;;-113.43;-81.619;-81.517;163.752;190.93;241.117;-146.524;353.058;-168.433;-171.731;134.785;-18.234
3030;-63.666;246.081;;-113.706;-82.902;-84.134;178.855;199.269;246.706;-148.96;339.175;-166.35;-175.691;137.196;-23.713
3040;-54.131;257.04;;-113.886;-84.454;-86.687;190.64;207.732;251.075;-151.848;321.597;-164.563;-176.643;138.739;-28.339
3050;-45.117;269.317;;-114.203;-85.874;-88.508;202.425;215.109;253.145;-155.486;300.47;-161.168;-177.491;139.112;-32.214
3060;-34.972;282.599;;-113.817;-86.448;-90.003;210.458;221.808;254.4;-159.234;278.233;-157.091;-178.851;139.644;-35.974
3070;-23.982;294.575;;-112.196;-86.403;-91.377;215.79;225.935;255.523;-162.299;256.185;-152.974;-182.692;140.754;-38.782
3080;-11.788;305.167;;-110.306;-86.392;-92.766;221.123;228.702;256.966;-166.004;233.949;-150.91;-186.513;142.364;-40.623
3090;-1.314;311.159;;-108.257;-86.59;-94.194;224.714;229.986;256.545;-169.145;210.761;-150.032;-188.486;143.188;-41.331
3100;10.29;315.335;;-107.383;-86.742;-95.207;226.844;229.909;256.007;-171.406;186.244;-148.937;-191.446;141.088;-42.361
3110;22.163;319.35;;-106.683;-87.086;-95.395;228.974;229.88;254.201;-173.506;160.756;-146.281;-194.764;139.174;-41.792
3120;34.328;322.49;;-106.85;-87.16;-95.743;230.221;225.09;252.348;-175.033;135.088;-143.884;-196.658;137.086;-39.246
3130;47.687;321.943;;-106.968;-87.037;-95.72;232.412;219.385;250.128;-177.728;111.041;-141.452;-199.381;137.97;-36.699
3140;60.443;321.657;;-106.586;-86.834;-96.323;233.524;213.926;247.589;-181.103;88.914;-138.771;-203.088;138.891;-34.618
3150;72.823;319.964;;-106.168;-85.927;-98.088;230.372;209.612;245.052;-184.375;65.728;-134.823;-207.378;139.308;-34.634
3160;84.081;318.974;;-105.803;-85.164;-100.019;227.017;205.589;240.403;-185.254;39.909;-130.272;-210.972;139.377;-34.006
3170;97.015;318.245;;-105.644;-84.292;-102.164;222.261;203.316;234.571;-182.703;14.436;-125.61;-212.399;139.319;-28.734
3180;111.225;317.225;;-105.637;-83.548;-103.532;217.445;202.912;231.497;-179.501;-9.375;-120.868;-212.343;138.91;-23.607
3190;125.855;314.924;;-105.912;-82.763;-104.859;212.672;203.161;226.992;-176.088;-30.803;-116.516;-212.226;137.742;-19.99
3200;141.458;311.846;;-106.509;-82.161;-105.432;207.658;203.964;223.008;-172.737;-51.807;-112.157;-213.13;136.501;-15.931
3210;155.745;306.127;;-107.106;-81.891;-105.884;203.479;204.629;219.628;-169.49;-73.448;-108.243;-213.763;135.829;-12.392
3220;171.512;299.888;;-108.05;-81.861;-106.168;199.223;204.13;214.291;-165.567;-94.127;-101.847;-214.106;136.539;-9.884
3230;189.436;292.452;;-108.592;-82.039;-106.514;194.088;200.189;208.555;-160.966;-112.021;-95.419;-213.525;137.297;-6.039
3240;208.597;285.139;;-108.796;-82.092;-107.21;186.484;195.515;199.978;-156.116;-130.406;-87.607;-211.801;133.134;-2.319
3250;226.942;278.258;;-109.459;-82.749;-108.31;178.839;190.12;191.204;-152.269;-150.697;-80.188;-210.312;127.713;1.007
3260;242.611;271.149;;-109.938;-84.192;-109.291;168.606;184.905;183.686;-148.098;-170.792;-73.076;-207.414;124.31;2.68
3270;256.348;266.417;;-110.327;-85.766;-110.423;157.632;179.931;176.43;-143.581;-189.946;-66.037;-205.68;122.317;3.091
3280;268.127;263.541;;-110.177;-87.465;-111.708;148.055;176.146;169.498;-137.763;-205.708;-58.959;-203.859;121.648;2.429
3290;277.978;259.003;;-109.505;-89.211;-113.257;139.735;173.188;160.538;-130.49;-216.439;-50.538;-204.846;120.371;0.429
3300;287.193;254.997;;-109.04;-90.768;-115.156;129.701;170.229;151.914;-123.897;-223.221;-42.741;-205.157;118.05;-0.992
3310;294.906;249.512;;-108.203;-92.135;-117.014;121.801;169.341;142.952;-117.966;-228.259;-35.218;-205.196;115.204;-1.912
3320;301.393;241.829;;-107.074;-93.331;-118.25;115.972;170.007;134.349;-113.21;-232.837;-25.521;-201.855;112.054;-3.418
3330;307.902;233.964;;-105.601;-94.745;-119.276;109.986;170.914;125.37;-108.33;-237.248;-16.156;-198.01;106.876;-5.11
3340;314.292;227.67;;-104.488;-95.487;-120.108;105.44;171.12;118.33;-102.954;-241.52;-4.292;-194.217;100.677;-7.443
3350;319.818;224.014;;-103.243;-96.27;-121.495;102.417;170.812;110.505;-98.177;-244.059;7.771;-188.681;96.734;-9.866
3360;326.287;215.51;;-101.921;-96.621;-122.421;99.51;169.622;103.948;-92.585;-244.23;19.597;-181.836;94.214;-13.236
3370;332.574;206.967;;-100.033;-97.039;-123.254;97.058;169.632;95.168;-87.444;-243.288;31.117;-173.27;90.403;-19.846
3380;333.985;195.71;;-98.051;-96.935;-123.887;93.873;169.648;86.589;-81.903;-238.759;43.822;-164.919;84.614;-24.396
3390;332.75;179.88;;-96.577;-97.204;-123.674;90.647;168.152;77.596;-76.585;-234.301;54.047;-156.843;82.895;-28.639
3400;333.854;163.53;;-95.012;-97.592;-122.596;90.128;165.295;69.53;-70.668;-229.807;64.156;-149.348;79.099;-30.069
3410;333.401;145.263;;-93.803;-97.353;-120.793;89.394;161.397;62.59;-64.735;-221.672;73.163;-141.683;73.479;-31.885
3420;331.662;127.117;;-92.611;-96.541;-118.611;88.716;155.097;57.979;-59.367;-213.952;82.05;-133.777;68.759;-35.869
3430;329.35;108.27;;-91.523;-95.825;-116.308;85.931;149.017;50.873;-54.382;-205.712;90.406;-126.113;65.668;-39.255
3440;324.814;87.324;;-90.692;-95.145;-114.386;81.61;140.945;44.241;-49.817;-196.582;98.726;-119.717;61.978;-42.004
3450;317.674;64.817;;-89.926;-95.01;-112.869;76.967;131.997;36.902;-45.225;-185.939;106.557;-113.321;56.116;-46.654
3460;310.41;45.31;;-89.159;-94.93;-111.272;70.16;120.977;28.713;-40.281;-174.048;114.469;-105.361;49.123;-51.065
3470;300.705;26.124;;-88.178;-95.16;-109.866;63.192;109.252;22.204;-36.091;-162.306;119.908;-96.61;41.163;-53.549
3480;288.47;9.124;;-86.639;-95.175;-108.674;55.021;95.641;15.077;-31.661;-151.023;125.026;-88.138;35.036;-58.73
3490;275.241;-9.008;;-84.961;-95.03;-106.986;45.415;80.959;10.604;-28.196;-138.854;128.56;-82.357;31.775;-63.993
3500;260.397;-27.063;;-82.808;-94.223;-105.058;35.975;67.96;6.328;-23.594;-125.603;133.508;-76.921;27.266;-68.964
3510;245.843;-44.167;;-80.532;-93.436;-102.672;26.687;55.032;1.052;-19.393;-113.059;138.49;-69.806;21.403;-72.583
3520;232.148;-60.761;;-78.326;-92.56;-100.023;17.937;43.383;-6.687;-13.939;-100.16;144.192;-62.563;15.436;-75.283
3530;220.219;-78.186;;-76.223;-91.942;-97.127;8.966;32.565;-15.39;-9.84;-88.877;146.585;-55.686;9.257;-77.462
3540;208.61;-94.454;;-74.497;-91.214;-94.127;0.807;22.217;-20.694;-6.826;-80.315;148.215;-46.448;3.939;-79.683
3550;195.419;-112.683;;-72.756;-90.141;-91.447;-6.135;11.688;-25.942;-4.974;-73.157;148.916;-37.803;-0.676;-80.899
3560;181.055;-130.822;;-70.206;-89.241;-88.36;-13.077;-2.073;-30.692;-2.502;-64.814;149.52;-29.157;-5.512;-81.127
3570;165.702;-147.89;;-66.786;-87.99;-85.561;-20.666;-14.789;-35.952;0.481;-54.691;148.994;-22.385;-10.759;-80.513
3580;149.152;-165.058;;-63.401;-86.921;-82.825;-28.257;-29.542;-40.614;3.731;-44.043;148.524;-16.316;-14.817;-79.721
3590;133.43;-182.661;;-59.457;-86.157;-80.477;-35.847;-43.935;-45.939;6.548;-32.796;145.454;-10.247;-17.828;-78.641
3600;117.281;-202.143;;-55.328;-85.754;-78.039;-42.894;-58.501;-50.225;9.56;-20.261;142.178;-5.636;-22.239;-77.505
3610;97.483;-215.063;;-51.138;-85.552;-74.881;-50.306;-72.044;-54.741;11.997;-7.052;138.817;-0.789;-28.952;-75.92
3620;77.771;-227.983;;-47.163;-85.301;-71.945;-57.399;-84.148;-56.89;14.07;5.954;136.157;3.058;-33.196;-73.295
3630;61.028;-236.378;;-42.861;-84.37;-68.201;-65.114;-95.091;-59.29;16.265;17.48;132.738;9.538;-35.468;-72.617
3640;45.997;-240.697;;-38.619;-82.914;-64.219;-72.927;-104.535;-62.08;18.939;28.372;129.763;16.556;-41.728;-70.403
3650;28.899;-245.015;;-34.274;-81.425;-60.244;-80.939;-113.793;-65.455;22.05;40.499;126.774;24.054;-44.514;-68.428
3660;12.154;-248.306;;-29.399;-80.374;-56.45;-88.419;-122.29;-69.505;24.997;50.964;123.975;30.055;-45.128;-64.476
3670;-5.217;-252.52;;-22.404;-80.087;-53.295;-95.941;-131.408;-76.742;26.705;62.058;120.841;36.153;-46.908;-60.233
3680;-23.885;-256.534;;-15.233;-79.6;-49.607;-102.102;-140.292;-84.159;28.412;75.473;118.539;41.404;-49.683;-56.636
3690;-41.913;-258.243;;-8.326;-78.327;-45.999;-106.503;-148.876;-92.575;30.884;88.763;116.375;45.932;-50.423;-51.359
3700;-58.829;-257.43;;-0.967;-76.64;-40.964;-110.815;-158.041;-100.532;35.356;101.132;114.971;50.412;-49.03;-45.869
3710;-77.272;-257.974;;7.192;-74.046;-33.43;-114.207;-165.279;-107.895;39.745;111.764;113.79;56.041;-47.759;-40.201
3720;-95.753;-258.658;;16.378;-69.559;-23.444;-117.259;-172.603;-114.978;45.319;123.865;112.446;59.412;-46.508;-33.65
3730;-112.404;-259.938;;25.226;-64.221;-13.603;-119.956;-177.757;-121.21;52.657;135.666;111.324;62.783;-47.106;-25.368
3740;-128.502;-261.033;;35.17;-59.057;-1.703;-121.746;-180.906;-127.441;60.119;148.21;108.923;68.886;-46.123;-16.983
3750;-141.898;-262.688;;46.571;-54.194;11.596;-123.444;-183.941;-133.113;67.434;161.454;105.812;75.126;-45.16;-10.199
3760;-154.101;-265.214;;60.04;-48.423;25.79;-125.268;-187.968;-138.797;75.612;175.026;103.465;79.735;-44.306;-4.298
3770;-165.726;-267.164;;73.612;-40.419;40.04;-126.53;-192.382;-141.825;81.938;188.161;102.243;85.345;-42.272;1.418
3780;-178.375;-267.706;;87.868;-31.269;53.531;-127.673;-198.626;-144.252;85.537;201.885;102.93;90.858;-40.062;8.054
3790;-190.28;-267.971;;104.532;-22.084;66.688;-128.61;-206.51;-147.117;88.608;215.352;102.197;96.941;-38.246;15.526
3800;-200.323;-268.716;;123.988;-13.608;81.604;-129.097;-214.223;-149.817;92.8;228.977;102.477;103.157;-36.607;21.92
3810;-208.717;-268.686;;142.942;-3.942;96.513;-129.607;-220.657;-151.96;98.992;241.615;102.543;109.339;-34.731;27.429
3820;-217.234;-267.04;;163;6.684;111.77;-129.328;-226.019;-152.912;107.057;252.367;102.194;114.314;-33.083;32.966
3830;-225.291;-263.555;;182.797;19.048;126.586;-128.505;-228.484;-153.946;114.841;261.121;102.637;119.597;-32.771;40.113
3840;-232.905;-259.583;;200.155;31.33;140.603;-126.168;-229.269;-154.381;122.395;269.655;103.217;124.804;-32.01;47.048
3850;-240.381;-256.09;;217.246;45.743;154.578;-123.614;-230.212;-155.33;128.794;275.789;102.979;132.058;-30.065;54.817
3860;-245.663;-253.226;;232.036;62.647;167.483;-120.521;-231.767;-155.786;134.714;280.523;102.77;139.179;-27.301;63.469
3870;-249.059;-250.483;;245.503;80.31;180.186;-118.164;-233.149;-154.619;139.548;283.724;101.28;146.571;-25.666;72.399
3880;-251.375;-250.332;;258.59;97.074;192.655;-116.634;-236.084;-152.954;143.619;283.566;99.772;152.603;-27.143;84.488
3890;-253.234;-250.166;;269.702;113.379;206.619;-115.353;-239.534;-151.037;147.088;282.873;99.121;158.352;-28.359;97.32
3900;-255.004;-249.764;;280.945;129.388;220.632;-114.545;-243.625;-149.721;150.599;280.977;97.743;164.48;-28.079;110.276
3910;-255.091;-247.832;;288.287;147.109;234.137;-114.225;-246.596;-147.905;154.644;278.561;97.346;169.761;-27.861;122.103
3920;-253.503;-244.61;;292.509;165.623;247.535;-114.208;-249.101;-144.788;160.317;276.07;94.487;174.719;-26.818;132.703
3930;-252.208;-241.581;;295.223;183.571;259.894;-114.243;-252.233;-141.47;165.963;270.066;91.109;178.33;-25.575;143.145
3940;-249.292;-239.2;;297.966;200.818;272.321;-114.652;-253.641;-137.811;171.035;262.39;86.291;182.37;-23.801;152.102
3950;-246.218;-237.781;;298.774;218.339;282.939;-115.593;-253.783;-134.859;174.343;254.501;81.277;186.161;-22.193;161.837
3960;-242.057;-233.961;;297.542;233.869;288.077;-116.556;-254.054;-132.281;177.673;246.681;74.55;185.532;-19.785;170.073
3970;-237.034;-230.135;;293.825;245.685;288.163;-117.846;-254.299;-130.309;179.604;237.193;68.063;185.659;-17.314;176.386
3980;-231.488;-225.48;;290.142;254.063;288.145;-119.043;-255.327;-128.783;177.941;226.212;59.897;185.181;-14.451;181.328
3990;-226.341;-218.81;;284.51;262.469;283.859;-119.897;-256.426;-127.618;176.139;213.43;53.458;185.352;-11.594;188.121
4000;-221.221;-212.277;;276.479;268.094;277.057;-121.277;-257.371;-127.574;170.854;200.483;46.341;185.537;-9.297;196.633
4010;-215.96;-204.345;;266.541;270.639;267.428;-122.546;-256.637;-127.945;162.879;186.617;37.779;183.688;-7.019;206.713
4020;-210.142;-198.943;;256.589;269.236;257.778;-124.252;-254.913;-128.434;154.959;171.946;27.252;179.112;-5.338;213.891
4030;-202.032;-194.124;;246.364;266.753;247.377;-125.949;-253.12;-127.783;149.446;157.221;16.69;174.687;-3.732;219.964
4040;-193.097;-188.974;;233.185;263.647;236.468;-127.646;-251.337;-126.309;143.723;141.91;7.436;168.83;-2.734;223.868
4050;-183.927;-181.323;;216.835;260.988;222.887;-128.84;-249.05;-124.454;137.924;126.611;-1.618;162.854;-1.487;228.665
4060;-174.79;-173.531;;200.567;257.568;209.292;-129.298;-246.728;-122.959;128.916;111.112;-10.439;153.895;0.23;233.407
4070;-162.859;-165.394;;182.84;253.314;196.046;-130.436;-244.063;-122.622;117.404;96.354;-18.981;146.688;1.908;236.273
4080;-150.681;-157.764;;164.523;247.592;184.534;-130.963;-240.434;-122.039;105.982;82.821;-28.37;139.09;3.662;236.494
4090;-140.036;-148.935;;147.366;241.834;174.859;-131.279;-236.64;-120.905;95.106;69.04;-37.83;131.901;4.858;236.797
4100;-129.577;-138.594;;130.077;235.008;165.185;-131.835;-231.583;-117.875;85.378;55.663;-47.375;122.793;6.102;235.789
4110;-118.305;-128.04;;114.225;225.834;153.703;-131.841;-223.254;-114.375;75.719;42.308;-57.16;113.782;7.604;233.152
4120;-107.377;-116.201;;99.167;215.621;141.461;-131.341;-214.89;-111.756;66.739;28.993;-66.463;103.629;8.892;230.156
4130;-98.817;-101.761;;83.745;205.581;128.138;-130.16;-204.845;-108.828;58.283;16.651;-75.566;93.418;10.601;224.917
4140;-89.663;-84.553;;69.899;194.901;112.952;-128.888;-193.621;-106.223;49.819;4.743;-84.617;83.041;12.214;217.844
4150;-80.552;-67.014;;55.957;184.354;97.697;-127.114;-180.279;-103.779;41.542;-6.575;-92.748;73.306;11.832;209.226
4160;-72.254;-50.748;;44.732;171.716;80.938;-125.021;-167.239;-101.603;33.343;-17.014;-101.541;64.691;11.388;200.763
4170;-63.797;-38.074;;33.821;157.65;64.181;-121.559;-155.719;-99.137;25.499;-28.003;-107.672;56.261;10.506;191.331
4180;-52.076;-25.539;;24.076;143.847;48.159;-117.821;-144.353;-97.633;17.462;-38.714;-114.963;49.145;9.549;180.826
4190;-41.237;-9.724;;14.262;128.688;32.123;-114.083;-135.047;-95.728;9.828;-48.468;-120.386;43.349;6.983;170.057
4200;-30.364;6.368;;5.926;112.335;15.814;-110.75;-125.021;-94.244;1.793;-58.328;-126.246;37.571;4.508;158.454
4210;-20.57;19.539;;-1.451;96.611;2.065;-106.102;-112.625;-92.44;-6.048;-67.095;-130.681;33.197;1.581;149.789
4220;-11.808;32.71;;-7.177;82.298;-9.037;-101.429;-100.443;-90.723;-13.783;-75.738;-134.717;28.996;-1.65;140.828
4230;-3.771;45.303;;-12.84;70.283;-20.27;-95.996;-87.261;-88.957;-20.799;-82.938;-137.046;22.948;-3.614;131.67
4240;5.153;55.646;;-17.599;57.643;-29.52;-90.463;-74.604;-87.421;-27.862;-89.881;-139.328;14.719;-5.188;118.046
4250;14.463;66.001;;-22.437;47.044;-37.73;-84.697;-62.03;-86.24;-34.232;-96.997;-141.139;6.407;-6.254;104.393
4260;24.839;76.469;;-28.359;38.687;-44.086;-79.197;-50.423;-85.273;-39.521;-103.92;-142.204;0.821;-7.579;88.702
4270;35.255;90.872;;-34.314;32.092;-50.317;-72.101;-37.528;-83.793;-44.852;-109.614;-142.155;-3.366;-8.812;76.961
4280;45.726;103.946;;-40.312;25.215;-55.203;-65.119;-24.447;-82.051;-49.542;-114.408;-141.931;-7.457;-9.732;65.207
4290;57.468;116.497;;-45.349;19.112;-59.452;-58.257;-10.247;-80.247;-53.771;-120.39;-141.268;-12.215;-10.852;55.052
4300;69.01;126.869;;-49.225;12.851;-62.702;-51.646;3.497;-77.323;-58.103;-126.214;-140.977;-16.974;-12.583;44.306
4310;82.182;139.12;;-53.128;6.11;-66.048;-45.713;15.372;-73.71;-61.346;-133.49;-140.575;-18.902;-14.239;33.97
4320;95.848;151.33;;-57.997;-0.914;-69.785;-38.633;26.648;-70.008;-63.887;-141.814;-140.018;-21.386;-15.774;25.054
4330;109.993;164.098;;-62.661;-7.75;-74.908;-33.785;37.142;-66.629;-66.297;-150.152;-138.956;-23.87;-17.261;18.007
4340;125.537;174.354;;-66.844;-14.479;-80.57;-29.661;48.672;-64.044;-69.068;-158.49;-137.422;-27.858;-19.73;10.434
4350;140.625;186.222;;-71.366;-21.783;-86.549;-24.719;58.601;-62.69;-71.771;-166.585;-135.292;-31.246;-22.302;3.086
4360;151.932;198.034;;-74.503;-29.81;-91.297;-17.888;67.948;-60.495;-74.474;-174.288;-132.847;-34.746;-25.233;-3.873
4370;160.735;212.527;;-78.037;-37.639;-95.905;-11.313;79.971;-58.87;-76.701;-181.051;-128.931;-37.961;-28.295;-10.217
4380;170.639;225.905;;-81.683;-45.461;-100.599;-4.48;90.77;-57.388;-78.708;-186.932;-125.458;-42.177;-31.019;-17.135
4390;179.567;238.655;;-85.324;-53.119;-105.37;3.348;102.182;-54.865;-80.594;-192.93;-121.705;-46.643;-33.606;-24.334
4400;188.185;251.406;;-89.338;-60.887;-110.327;10.953;111.095;-50.269;-82.743;-199.309;-118.033;-52.149;-35.803;-31.178
4410;198.119;263.035;;-92.822;-69.007;-114.166;19.906;119.732;-45.018;-85.611;-205.516;-113.699;-57.655;-37.763;-37.836
4420;207.869;275.665;;-95.735;-76.461;-117.764;28.72;127.05;-38.437;-90.279;-211.539;-108.218;-63.065;-39.446;-43.836
4430;214.701;287.964;;-98.738;-83.644;-121.723;37.019;132.668;-30.359;-94.946;-215.943;-101.659;-69.458;-40.691;-49.33
4440;220.742;295.783;;-101.748;-89.012;-125.723;42.88;138.099;-22.705;-99.537;-220.313;-96.793;-75.851;-41.803;-54.927
4450;226.749;303.441;;-105.059;-93.27;-129.006;50.514;142.531;-14.571;-103.306;-223.686;-91.498;-82.268;-43.186;-59.884
4460;232.697;308.964;;-107.811;-97.077;-131.483;57.034;144.963;-6.175;-106.931;-226.617;-86.083;-87.651;-44.601;-64.807
4470;237.436;314.487;;-110.72;-100.476;-134.481;66.153;144.832;2.681;-110.243;-228.492;-80.964;-91.327;-45.872;-68.75
4480;241.349;318.684;;-113.829;-104.043;-137.204;75.588;144.586;12.934;-111.735;-229.592;-75.957;-91.505;-46.701;-71.257
4490;245.564;320.466;;-116.621;-107.582;-140.127;84.828;145.85;25.974;-113.228;-229.75;-71.451;-91.019;-47.044;-71.466
4500;249.779;322.297;;-119.572;-111.521;-142.81;94.076;151.068;39.651;-113.018;-230.308;-67.145;-90.462;-47.36;-72.771
4510;253.301;323.206;;-121.887;-115.852;-145.113;104.36;155.683;54.286;-113.817;-230.593;-63.72;-91.04;-47.316;-72.79
4520;256.029;324.316;;-123.905;-120.52;-147.258;113.484;163.149;65.808;-115.008;-230.879;-61.375;-91.618;-47.154;-72.941
4530;256.185;326.128;;-126.556;-125.127;-149.09;123.444;174.29;76.811;-116.866;-231.657;-59.346;-92.364;-46.913;-72.116
4540;253.448;327.734;;-129.807;-129.669;-150.968;133.171;184.301;87.793;-118.934;-229.759;-57.647;-92.935;-46.348;-71.088
4550;250.712;329.274;;-133.401;-134.291;-152.799;142.812;192.353;97.772;-120.76;-227.861;-56.092;-93.506;-46.422;-70.459
4560;245.748;326.43;;-136.575;-138.811;-153.719;151.537;199.888;106.688;-123.123;-224.217;-54.586;-93.261;-46.49;-72.225
4570;236.142;323.469;;-138.579;-142.779;-153.837;158.179;207.472;115.156;-125.223;-219.614;-52.801;-92.927;-47.197;-73.618
4580;225.233;320.553;;-139.858;-146.673;-153.796;166.436;213.992;123.139;-126.91;-214.611;-51.314;-92.207;-48.181;-75.975
4590;214.153;316.283;;-140.6;-150.727;-153.457;174.051;221.272;131.03;-127.757;-209.098;-49.222;-89.594;-48.403;-77.887
4600;203.108;310.047;;-141.018;-154.061;-152.676;180.666;228.559;140.669;-127.963;-203.812;-47.65;-86.982;-48.737;-80.199
4610;193.21;303.383;;-141.748;-156.567;-151.49;185.203;232.59;150.981;-127.961;-199;-45.268;-82.712;-48.366;-83.134
4620;184.763;295.148;;-141.99;-158.279;-150.029;190.419;232.91;161.432;-128.509;-194.105;-43.901;-75.855;-47.486;-86.629
4630;177.734;286.437;;-141.214;-159.818;-148.218;195.99;235.081;171.745;-129.319;-189.403;-42.774;-68.999;-46.451;-90.168
4640;171.332;274.412;;-139.495;-161.677;-146.368;200.435;235.954;179.244;-128.458;-183.265;-41.55;-65.334;-45.102;-93.146
4650;164.897;262.519;;-136.852;-162.959;-144.126;203.618;237.541;184.783;-127.57;-176.233;-40.694;-61.408;-43.753;-95.502
4660;157.337;250.594;;-134.472;-163.297;-141.681;205.295;239.051;190.461;-125.225;-168.681;-39.313;-58.847;-41.932;-97.989
4670;149.437;237.651;;-131.447;-163.047;-139.062;206.316;242.903;195.181;-120.996;-160.581;-39.114;-56.383;-40.112;-99.403
4680;141.386;224.721;;-127.708;-162.676;-136.749;207.683;248.338;201.301;-116.643;-153.847;-38.876;-52.964;-38.283;-99.555
4690;132.731;211.699;;-124.306;-162.412;-134.339;211.712;252.154;207.352;-111.578;-146.593;-36.917;-50.418;-36.523;-100.034
4700;124.076;198.806;;-120.276;-161.877;-132.41;214.262;256.381;211.148;-105.647;-139.942;-35.192;-48.037;-34.403;-99.903
4710;116.379;187.367;;-117.103;-160.552;-130.912;214.652;258.672;213.098;-99.378;-132.912;-33.324;-45.657;-32.324;-100.775
4720;109.972;175.977;;-114.728;-159.102;-129.593;211.516;261.832;215.345;-92.851;-126.167;-31.852;-44.441;-29.366;-101.647
4730;103.297;163.73;;-112.284;-157.8;-128.137;207.062;264.737;214.724;-88.194;-120.059;-30.034;-44.273;-26.448;-102.084
4740;96.652;153.167;;-110.178;-156.452;-125.535;201.741;265.662;210.281;-83.441;-113.952;-28.2;-44.105;-23.254;-102.603
4750;90.139;142.094;;-106.697;-154.444;-122.445;195.386;261.028;205.742;-80.077;-107.866;-26.324;-44.686;-19.811;-101.361
4760;83.865;128.299;;-103.572;-152.115;-118.957;188.277;256.724;197.663;-75.393;-101.412;-23.926;-45.419;-16.823;-100.065
4770;77.163;109.88;;-100.379;-149.646;-115.393;179.928;245.091;190.808;-70.578;-94.194;-21.943;-46.371;-13.774;-98.53
4780;70.459;91.028;;-97.524;-146.999;-110.786;171.32;228.623;183.988;-64.548;-86.959;-19.721;-46.945;-10.89;-99.397
4790;62.124;72.01;;-94.469;-143.553;-105.539;162.754;215.982;177.03;-59.825;-80.589;-17.123;-47.626;-7.517;-100.53
4800;53.692;51.899;;-92.441;-139.397;-100.097;154.8;204.985;171.203;-55.054;-74.899;-13.993;-48.33;-3.287;-101.179
4810;43.877;33.017;;-90.662;-134.88;-94.985;147.178;193.568;165.32;-50.545;-70.065;-9.52;-50.273;1.166;-99.381
4820;36.425;13.513;;-89.145;-130.314;-90.268;140.179;181.793;159.575;-47.058;-65.141;-5.305;-51.906;6.378;-97.262
4830;29.348;-6.371;;-87.404;-124.171;-85.121;133.4;170.694;153.752;-43.792;-59.703;-0.568;-53.99;11.524;-94.826
4840;20.709;-22.292;;-85.243;-116.959;-79.626;126.257;158.079;147.908;-40.978;-54.212;3.328;-56.319;16.67;-91.592
4850;12.07;-39.614;;-83.109;-109.465;-74.303;119.199;145.916;140.857;-39.083;-48.652;8.561;-58.53;22.782;-87.91
4860;4.415;-56.977;;-80.273;-102.364;-68.877;110.68;134.949;133.415;-37.298;-43.223;12.999;-61.815;28.928;-84.658
4870;-5.495;-76.811;;-76.983;-94.666;-63.622;100.712;123.265;124.84;-34.89;-38.749;17.392;-67.942;35.654;-82.099
4880;-17.054;-96.225;;-73.269;-85.39;-58.272;90.483;108.629;117.12;-32.146;-33.899;22.032;-73.545;42.421;-78.73
