timepoints (min);16: frq7+.1;17: frq7+.2;;18: frq1-.1;19: frq1-.2;20: frq1-.3;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
1360;60.806;130.436;;12.399;69.296;33.317;125.236;160.927;243.422;37.482;-37.452;106.129;-0.18;175.914;91.085
1370;44.951;126.532;;7.563;65.24;30.549;124.058;156.55;245.352;32.279;-49.844;95.656;-8.423;163.599;80.153
1380;29.844;122.507;;3.496;60.836;26.819;121.75;151.863;246.436;27.332;-59.646;86.776;-17.31;151.539;69.108
1390;16.037;123.601;;-0.577;56.151;23.878;117.727;146.789;248.62;25.823;-66.618;77.562;-24.447;139.469;56.402
1400;0.712;127.088;;-4.272;52.12;20.256;113.36;143.352;250.064;23.056;-75.6;69.192;-25.2;126.632;41.48
1410;-16.69;126.415;;-8.212;47.193;17.689;109.548;139.608;250.966;20.586;-84.654;62.125;-27.004;113.697;27.191
1420;-33.242;123.863;;-12.157;42.267;15.241;106.394;137.587;250.437;18.396;-93.819;58.777;-30.044;100.326;16.77
1430;-47.182;120.035;;-16.533;36.559;13.261;104.38;136.298;248.606;15.914;-100.952;55.32;-33.242;84.598;6.769
1440;-59.053;117.091;;-20.364;30.971;10.563;102.356;135.389;245.986;15.016;-107.921;51.784;-36.452;65.924;-1.375
1450;-70.618;116.949;;-24.202;25.354;8.465;100.178;134.962;241.906;13.352;-113.503;47.288;-39.118;46.906;-10.612
1460;-81.801;116.797;;-27.728;19.999;6.68;98.308;133.75;237.002;12.31;-117.533;42.733;-42.439;29.81;-21.065
1470;-93.243;117.892;;-31.096;14.687;4.818;96.365;132.333;232.599;8.984;-120.243;36.621;-45.833;14.247;-32.472
1480;-102.386;117.964;;-33.431;9.367;2.241;94.956;130.174;225.818;4.033;-121.965;31.112;-50.384;-1.9;-43.132
1490;-109.788;120.17;;-36.019;4.161;-0.394;93.176;124.477;216.487;-0.949;-123.051;27.944;-55.415;-17.912;-53.099
1500;-116.144;122.267;;-37.631;-1.046;-3.505;91.4;118.951;205.898;-6.847;-124.252;24.127;-60.833;-29.529;-60.754
1510;-119.337;125.874;;-38.967;-6.268;-6.44;86.996;111.4;196.389;-12.924;-125.116;21.866;-66.414;-37.82;-67.635
1520;-120.092;131.706;;-40.562;-10.488;-9.37;81.342;103.687;186.543;-20.116;-125.759;17.721;-72.433;-47.362;-74.57
1530;-119.926;136.193;;-42.81;-14.823;-10.708;75.925;95.43;178.777;-24.265;-126.63;13.07;-78.2;-56.55;-81.552
1540;-119.497;137.941;;-45.05;-17.912;-12.06;70.213;87.293;170.793;-27.482;-127.918;7.515;-84.591;-63.916;-88.732
1550;-118.434;142.474;;-47.846;-19.919;-13.886;64.853;79.061;164.473;-31.25;-128.351;3.881;-88.399;-69.233;-96.237
1560;-116.696;145.425;;-48.811;-22.326;-16.357;58.796;73.05;157.416;-33.811;-129.145;0.045;-94.229;-73.862;-102.869
1570;-115.186;146.321;;-49.81;-24.516;-19.301;55.283;68.827;149.776;-36.241;-129.728;-3.607;-99.259;-77.73;-105.28
1580;-114.564;146.965;;-50.829;-26.822;-22.665;51.765;65.304;140.841;-37.536;-129.837;-6.157;-104.277;-80.914;-107.378
1590;-113.977;148.507;;-52.25;-29.497;-25.621;49.554;62.982;133.542;-38.214;-129.163;-11.588;-113.198;-83.961;-108.845
1600;-113.636;145.989;;-53.926;-32.138;-28.379;46.138;60.65;124.207;-39.567;-127.988;-17.346;-122.007;-86.881;-108.909
1610;-115.041;141.127;;-57.25;-35.988;-32.415;39.345;55.11;111.989;-43.51;-128.059;-29.481;-133.512;-90.44;-109.604
1620;-115.593;132.025;;-60.149;-39.608;-36.291;31.612;50.228;100.495;-46.597;-128.2;-41.217;-143.335;-92.841;-110.05
1630;-116.363;123.363;;-62.326;-42.789;-39.112;24.935;45.818;88.804;-49.084;-127.251;-53.989;-153.294;-95.062;-110.262
1640;-118.353;112.048;;-63.309;-45.997;-41.932;18.258;42.01;75.993;-54.364;-124.806;-65.21;-163.411;-95.641;-110.052
1650;-120.127;100.734;;-64.372;-49.612;-44.091;12.583;39.703;63.367;-58.247;-121.719;-77.302;-178.891;-94.818;-108.967
1660;-120.983;94.484;;-65.796;-52.483;-46.117;6.961;37.389;51.288;-60.407;-118.288;-87.596;-192.051;-93.029;-106.314
1670;-121.356;91.062;;-67.13;-55.352;-47.939;1.381;35.399;39.077;-63.047;-113.734;-98.23;-205.004;-91.466;-104.265
1680;-120.508;87.64;;-68.632;-56.883;-50.182;-3.945;32.72;28.236;-66.036;-108.668;-107.568;-215.313;-89.659;-102.741
1690;-119.783;84.389;;-69.263;-58.201;-52.425;-8.995;30.396;17.59;-71.502;-103.561;-114.346;-223.568;-87.223;-101.134
1700;-121.047;77.549;;-68.983;-59.487;-54.679;-13.927;27.349;8.357;-75.972;-98.637;-120;-230.601;-84.821;-98.56
1710;-122.519;70.709;;-68.879;-60.301;-57.012;-18.39;22.694;-0.763;-80.37;-94.099;-123.543;-231.88;-81.898;-95.017
1720;-124.095;63.785;;-69.103;-61.577;-58.841;-22.574;17.949;-10.861;-80.716;-90.389;-126.102;-232.486;-79.01;-91.076
1730;-125.97;58.644;;-69.357;-62.992;-60.538;-27.051;11.353;-19.767;-79.659;-86.655;-131.16;-232.212;-76.735;-87.796
1740;-127.061;53.503;;-70.032;-64.457;-62.434;-31.236;6.098;-29.052;-79.778;-83.408;-136.059;-234.906;-74.436;-84.192
1750;-127.604;46.676;;-70.979;-65.843;-64.84;-35.303;0.742;-36.939;-79.356;-79.36;-140.123;-237.634;-72.368;-81.378
1760;-127.972;39.599;;-71.633;-67.699;-67.326;-38.779;-3.436;-45.03;-80.676;-75.465;-141.186;-240.273;-70.517;-77.812
1770;-127.59;32.521;;-72.604;-69.741;-69.428;-41.246;-7.441;-52.663;-80.761;-71.801;-140.794;-239.048;-69.161;-74.199
1780;-127.087;24.283;;-73.663;-72.455;-71.76;-43.801;-10.724;-60.519;-83.246;-68.45;-139.894;-237.196;-67.382;-70.67
1790;-125.916;13.458;;-74.781;-75.258;-74.052;-45.618;-14.833;-68.181;-87.67;-65.462;-135.738;-227.847;-64.734;-67.142
1800;-125.328;2.633;;-75.719;-77.888;-75.371;-47.708;-20.217;-75.921;-91.159;-62.534;-131.606;-218.257;-62.868;-63.481
1810;-124.306;-6.014;;-77.77;-80.061;-76.69;-49.77;-26.564;-83.197;-96.422;-59.625;-126.935;-208.514;-60.866;-60.459
1820;-123.674;-13.114;;-80.029;-81.254;-77.312;-51.881;-32.836;-90.486;-101.775;-56.56;-120.956;-202.218;-58.241;-59.415
1830;-122.695;-20.215;;-82.481;-82.454;-78.16;-54.476;-39.487;-96.583;-108.159;-53.349;-116.895;-198.199;-57.103;-58.218
1840;-122.159;-28.554;;-84.237;-82.672;-79.363;-57.047;-46.29;-102.619;-114.343;-50.905;-111.423;-188.972;-55.836;-56.35
1850;-121.657;-33.611;;-85.726;-82.466;-81.222;-58.461;-53.444;-106.625;-119.372;-48.99;-107.494;-174.657;-53.621;-54.794
1860;-120.906;-38.668;;-87.359;-82.421;-83.041;-59.87;-60.299;-109.903;-123.419;-47.312;-102.81;-157.837;-51.39;-52.771
1870;-120.557;-39.752;;-90.166;-82.866;-85.334;-60.79;-67.597;-113.146;-127.483;-45.935;-98.119;-142.477;-49.673;-51.159
1880;-119.248;-42.04;;-94.331;-83.432;-87.466;-60.967;-75.057;-116.447;-130.91;-45.058;-92.841;-126.743;-47.531;-50.095
1890;-116.486;-44.968;;-98.49;-84.469;-89.8;-61.321;-82.488;-119.138;-135.426;-44.757;-86.614;-112.926;-45.287;-48.836
1900;-113.892;-48.415;;-102.226;-86.252;-91.599;-61.319;-89.981;-122.124;-138.637;-44.539;-79.124;-97.05;-43.674;-46.737
1910;-111.214;-53.076;;-104.572;-87.829;-93.597;-61.356;-97.068;-124.946;-142.502;-44.679;-71.556;-81.647;-42.41;-45.248
1920;-108.837;-59.497;;-107.119;-89.028;-94.913;-61.303;-104.062;-127.084;-147.052;-44.908;-63.596;-66.844;-40.134;-44.041
1930;-107.302;-66.723;;-108.159;-90.538;-95.989;-61.639;-111.539;-130.097;-152.937;-44.178;-57.171;-46.912;-37.065;-43.081
1940;-105.972;-74.648;;-109.291;-91.396;-96.945;-61.657;-119.017;-131.953;-157.199;-43.39;-53.415;-32.648;-32.928;-42.873
1950;-103.862;-81.614;;-110.948;-91.753;-98.034;-61.668;-125.578;-133.403;-159.302;-43.687;-49.383;-18.364;-28.677;-43.177
1960;-102.476;-88.571;;-112.266;-92.363;-98.923;-61.371;-130.399;-133.219;-160.065;-44.225;-47.534;-11.211;-24.714;-45.774
1970;-101.317;-96.961;;-113.046;-92.303;-99.145;-60.654;-134.705;-132.316;-162.061;-45.119;-44.861;-5.092;-20.007;-48.048
1980;-98.815;-104.472;;-113.623;-92.88;-99.367;-59.93;-135.232;-131.154;-164.178;-46.452;-40.363;1.109;-14.928;-49.88
1990;-97.303;-112.41;;-113.822;-93.408;-98.514;-58.513;-135.786;-129.428;-164.72;-48.411;-35.115;8.797;-9.579;-51.817
2000;-95.552;-119.299;;-113.684;-93.812;-97.059;-56.251;-136.657;-128.542;-164.954;-50.07;-30.012;15.243;-3.843;-53.408
2010;-93.451;-127.535;;-113.52;-93.348;-95.891;-53.954;-137.054;-127.142;-163.244;-51.491;-25.821;20.102;2.665;-55.553
2020;-91.141;-135.826;;-113.418;-92.834;-94.982;-52.313;-138.294;-125.847;-160.931;-52.92;-21.67;21.368;8.535;-57.433
2030;-89.203;-141.312;;-113.276;-91.756;-94.633;-51.949;-139.633;-124.164;-159.495;-54.719;-17.8;22.479;15.167;-59.582
2040;-87.502;-144.601;;-113.291;-90.465;-93.524;-51.574;-141.612;-122.117;-156.782;-56.27;-17.014;18.339;20.171;-62.512
2050;-85.086;-147.161;;-113.182;-88.986;-92.295;-52.537;-141.582;-120.061;-154.19;-58.301;-15.294;10.378;25.694;-65.207
2060;-83.084;-150.866;;-113.985;-87.206;-90.09;-53.575;-141.863;-117.44;-151.436;-61.138;-13.054;2.272;29.319;-66.159
2070;-80.73;-155.123;;-113.625;-85.952;-87.901;-54.546;-141.804;-115.021;-148.585;-64.88;-12.214;-3.146;28.186;-65.077
2080;-78.548;-159.654;;-113.458;-84.08;-84.872;-54.665;-141.796;-112.629;-144.127;-69.377;-9.331;-2.341;28.966;-65.006
2090;-76.461;-163.735;;-111.633;-84.153;-82.36;-54.742;-141.641;-110.149;-138.503;-74.389;-7.705;-1.501;31.607;-64.575
2100;-74.826;-168.095;;-110.434;-84.123;-79.848;-54.583;-142.058;-108.16;-132.959;-79.739;-4.669;-0.487;32.175;-64.545
2110;-74.12;-172.768;;-109.339;-83.495;-76.742;-54.314;-142.33;-106.67;-127.266;-85.305;-2.677;-3.21;32.268;-65.262
2120;-73.327;-176.601;;-106.611;-82.513;-73.399;-54.032;-142.134;-105.472;-121.35;-90.836;-0.09;-5.712;34.017;-66.566
2130;-72.728;-178.494;;-99.836;-80.829;-69.701;-53.966;-141.525;-104.519;-116.519;-95.869;2.419;-3.361;36.25;-67.546
2140;-72.21;-179.978;;-93.061;-79.141;-66.113;-53.29;-140.521;-104.265;-109.948;-100.738;7.248;4.691;38.068;-67.681
2150;-71.539;-180.428;;-83.349;-77.359;-62.526;-52.876;-139.262;-104.301;-104.861;-105.879;11.105;13.102;39.388;-67.692
2160;-71.575;-180.229;;-77.686;-74.553;-57.433;-51.692;-138.354;-104.694;-97.841;-110.963;15.628;18.171;39.356;-67.807
2170;-71.44;-179.988;;-72.036;-72.029;-52.621;-50.601;-138.15;-104.95;-88.571;-116.36;20.059;22.029;38.028;-69.048
2180;-69.348;-179.228;;-67.153;-69.484;-46.651;-49.018;-137.514;-104.836;-77.666;-122.146;23.815;21.127;35.957;-69.841
2190;-67.309;-178.328;;-61.975;-67.181;-41.043;-47.939;-136.313;-104.851;-66.206;-127.571;28.12;26.501;33.327;-68.873
2200;-65.127;-177.428;;-57.509;-64.52;-34.434;-46.875;-134.938;-105.272;-57.579;-132.006;35.91;31.909;30.052;-67.142
2210;-62.109;-175.69;;-52.898;-61.694;-26.897;-46.666;-133.756;-106.652;-50.705;-136.186;46.621;41.194;27.181;-64.81
