timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
690;-228.082;-227.552;-291.09;-289.628;-301.89;-295.818;-238.413;-134.441;-201.58;-257.507;-246.911;-352.909;-102.888;-111.855;-85.173
700;-209.795;-209.398;-273.224;-271.859;-292.467;-282.55;-223.863;-127.251;-193.788;-245.473;-235.263;-335.17;-81.164;-93.913;-68.052
710;-193.387;-194.667;-256.093;-253.573;-282.107;-268.52;-210.827;-120.76;-187.987;-233.827;-226.2;-318.627;-61.88;-77.96;-52.76
720;-178.74;-178.924;-240.697;-236.615;-271.329;-255.707;-199.651;-113.372;-182.967;-223.372;-218.464;-302.928;-45.418;-61.513;-37.201
730;-167.112;-164.805;-227.371;-222.065;-262.386;-243.125;-187.933;-106.621;-176.316;-213.523;-211.412;-289.144;-28.806;-46.363;-21.379
740;-158.521;-150.171;-214.12;-211.393;-255.372;-232.034;-177.534;-101.406;-170.415;-204.88;-205;-275.786;-10.021;-32.346;-6.868
750;-150.116;-136.448;-201.199;-201.428;-249.338;-216.781;-166.237;-96.672;-163.711;-197.008;-198.806;-263.891;7.352;-19.511;6.62
760;-143.9;-123.688;-189.413;-191.225;-243.513;-201.262;-155.988;-90.2;-157.862;-189.975;-192.712;-254.25;21.55;-7.663;20.087
770;-136.422;-110.804;-177.922;-179.503;-237.998;-185.884;-145.903;-84.288;-152.631;-183.432;-186.993;-245.275;34.746;4.825;32.041
780;-129.203;-97.46;-165.691;-167.912;-232.39;-171.195;-137.1;-76.957;-147.9;-176.49;-180.632;-237.15;46.068;16.473;41.557
790;-120.086;-86.334;-154.156;-156.833;-225.557;-157.295;-128.969;-70.993;-143.561;-170.022;-174.072;-228.61;56.49;27.705;50.577
800;-110.869;-75.982;-142.69;-146.357;-218.917;-144;-121.161;-65.393;-138.155;-163.857;-168;-220.792;66.595;37.369;59.548
810;-102.259;-66.704;-132.024;-134.628;-211.826;-131.595;-112.814;-59.391;-133.158;-158.518;-162.386;-212.344;75.972;45.635;69.259
820;-78.54;-41.202;-105.066;-105.187;-189.938;-104.732;-89.343;-46.523;-116.651;-139.025;-141.106;-188.158;107.842;76.929;98.733
830;-53.682;-15.197;-78.158;-75.961;-167.686;-78.687;-64.847;-32;-100.118;-119.531;-119.569;-163.974;139.736;109.675;127.79
840;-33.705;6.355;-54.534;-50.46;-147.697;-59.736;-43.704;-19.646;-88.6;-102.505;-103.221;-141.13;166.9;132.604;150.575
850;-16.543;23.903;-35.208;-28.788;-132.111;-45.464;-22.515;-7.499;-76.867;-85.163;-86.481;-118.294;186.286;151.823;167.856
860;0.913;42.104;-15.784;-9.164;-119.422;-32.431;-5.442;2.584;-67.553;-73.793;-75.393;-95.969;203.242;167.951;182.567
870;16.441;57.365;0.791;6.538;-109.262;-18.124;9.2;13.311;-55.863;-62.66;-67.84;-77.334;215.583;180.157;198.609
880;29.494;70.379;15.47;19.696;-100.864;-2.579;24.044;22.613;-46.036;-56.37;-60.172;-58.711;225.154;189.741;209.882
890;42.589;82.263;29.566;33.032;-91.539;10.806;37.26;31.462;-37.535;-50.956;-54.282;-44.367;233.631;198.284;218.338
900;56.862;93.852;43.654;48.035;-82.709;22.707;48.356;41.126;-27.542;-45.625;-48.211;-30.041;239.689;207.866;226.046
910;69.796;106.109;57.661;64.086;-74.08;37.227;60.371;50.85;-17.771;-40.648;-42;-18.905;244.051;218.859;233.651
920;80.37;115.2;72.731;79.211;-64.905;53.079;72.796;60.27;-9.515;-34.704;-36.061;-9.943;248.463;228.56;238.988
930;91.766;123.313;87.649;93.17;-55.733;71.134;85.11;68.353;-1.885;-29.158;-31.462;-0.997;251.836;236.744;246.875
940;101.527;131.452;101.77;105.695;-46.585;87.467;96.85;75.214;5.495;-23.615;-26.923;6.955;257.166;243.753;253.771
950;110.425;138.234;112.289;119.382;-36.769;102.275;107.483;81.112;12.169;-18.755;-21.493;14.887;261.053;249.474;259.627
960;121.51;147.94;121.66;131.58;-27.1;115.47;118.44;86.96;19.42;-15.06;-14.72;22.94;265.31;254.15;266.1
970;132.863;156.297;130.945;141.359;-17.168;126.592;129.091;91.75;28.007;-11.341;-8.082;31.086;269.799;255.853;271.333
980;145.293;163.67;140.956;150.832;-5.804;137.641;138.389;97.112;35.09;-7.987;-0.592;39.216;272.913;255.546;275.868
990;158.24;169.77;151.971;162.937;6.485;148.206;147.172;103.014;42.564;-4.047;7.52;46.861;272.392;254.872;278.172
1000;172.937;174.33;160.06;174.77;19.853;155.251;153.133;108.587;49.178;-0.184;15.371;54.491;270.417;253.573;279.825
1010;185.987;178.221;168.116;185.712;33.493;163.074;159.158;112.301;55.977;4.672;23.684;65.661;268.175;251.819;280.655
1020;197.82;181.368;174.431;194.629;47.367;170.51;163.211;116.035;64.559;9.389;32.054;76.82;263.861;247.34;278.174
1030;209.766;183.325;177.088;203.847;60.957;176.655;167.805;117.47;73.351;14.54;40.935;87.962;260.581;241.628;274.602
1040;217.369;185.116;179.74;213.322;73.744;182.817;171.346;119.497;82.185;19.702;49.757;99.767;256.891;234.964;269.955
1050;224.446;187.827;182.041;222.3;86.618;188.58;173.87;121.149;89.763;24.818;58.414;111.554;253.335;229.044;264.816
1060;231.173;190.02;184.589;229.771;99.891;195.053;175.296;121.849;96.207;29.674;66.555;122.142;248.547;222.216;257.527
1070;237.454;191.825;186.677;237.297;113.724;203.29;175.948;121.459;101.317;34.742;74.56;131.777;243.528;214.925;249.687
