timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3
1330;39.531;20.419;30.604;44.726;37.819;103.831;64.112;86.064;28.073;36.507;24.78;;85.814;35.357;45.486
1340;39.171;22.871;34.646;45.33;44.955;108.461;64.065;82.639;28.46;34.837;26.22;;85.93;34.665;44.321
1350;38.867;25.212;25.472;46.108;52.19;114.122;63.673;78.008;28.6;33.173;26.747;;86.772;33.875;43.723
1360;37.717;27.75;16.543;48.34;60.982;120.44;62.117;73.422;28.3;30.915;28.559;;88.112;33.426;44.758
1370;36.655;30.66;12.632;49.765;67.464;128.276;59.909;67.604;27.799;28.582;30.377;;89.102;31.577;45.729
1380;35.905;33.377;9.049;50.278;71.302;135.492;58.039;61.043;27.154;26.287;32.258;;88.718;29.603;47.059
1390;36.275;36.884;13.616;52.423;74.379;142.027;57.054;53.799;26.765;22.957;34.143;;87.704;25.691;45.63
1400;36.64;39.888;20.792;57.608;75.488;146.976;53.64;46.552;26.632;19.632;36.832;;85.76;22.688;40.712
1410;37.599;43.939;27.755;59.656;75.751;151.267;51.177;38.742;25.978;16.751;38.046;;83.22;21.466;35.844
1420;38.631;46.725;32.891;59.743;77.08;155.317;48.044;30.561;25.41;13.481;39.264;;82.059;20.959;31.12
1430;38.816;49.587;38.125;59.745;77.033;158.944;43.57;22.496;24.394;9.301;40.275;;81.372;21.529;29.824
1440;39.064;51.222;42.654;58.951;77.223;163.123;39.302;14.428;23.531;5.132;41.293;;81.031;23.641;29.173
1450;38.945;53.317;47.511;60.777;76.82;166.746;35.989;6.843;22.069;1.172;39.718;;80.137;26.495;27.972
1460;38.652;55.141;50.91;64.386;75.761;169.104;33.384;-0.035;20.445;-2.777;38.151;;78.013;29.356;25.051
1470;38.593;56.247;53.916;66.982;74.435;168.498;30.989;-4.986;18.926;-4.998;36.59;;75.476;30.174;24.182
1480;38.96;57.48;56.538;69.44;72.953;165.166;28.785;-10.02;17.7;-7.008;35.239;;72.848;30.613;22.354
1490;39.323;56.69;58.413;73.397;70.993;161.317;25.97;-15.052;16.924;-8.764;33.891;;71.288;29.909;20.844
1500;40.999;55.781;59.027;78.052;67.216;155.564;22.994;-20.121;16.15;-10.514;31.827;;69.667;29.572;17.367
1510;42.452;54.083;59.137;80.629;63.879;152.292;21.096;-22.125;15.071;-11.659;29.766;;67.44;30.676;17.472
1520;43.707;51.756;58.38;81.336;59.495;150.007;18.771;-24.01;13.809;-12.439;27.708;;64.509;32.475;18.776
1530;44.775;52.558;57.608;83.658;53.774;149.243;15.894;-26.736;12.3;-13.221;25.653;;61.031;33.516;19.847
1540;44.367;53.31;56.73;85.985;47.693;148.063;13.458;-30.858;11.393;-13.999;23.601;;57.134;33.135;19.755
