timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
660;-47.481;-256.786;-91.918
670;-48.778;-243.753;-91.309
680;-49.36;-232.613;-89.16
690;-49.789;-223.007;-87.349
700;-49.321;-211.985;-85.429
710;-48.897;-202.282;-84.85
720;-49.702;-193.685;-84.384
730;-50.612;-184.625;-84.087
740;-51.612;-176.506;-81.383
750;-52.905;-169.197;-79.602
760;-52.613;-163.409;-78.286
770;-52.393;-158.179;-77.185
780;-52.315;-153.438;-78.776
790;-51.682;-133.67;-75.634
800;-51.363;-113.885;-72.453
810;-51.259;-94.083;-73.35
820;-50.853;-74.035;-74.298
830;-50.156;-53.978;-72.678
840;-49.731;-33.911;-70.493
850;-47.93;-28.318;-67.674
860;-47.534;-22.707;-66.6
870;-46.523;-17.08;-67.117
880;-45.579;-13.804;-66.663
890;-45.845;-11.021;-65.029
900;-44.501;-8.212;-61.473
910;-43.331;-3.237;-60.02
920;-42.707;0.924;-59.508
930;-42.54;5.11;-56.08
940;-41.998;9.102;-52.629
950;-41.934;11.48;-48.59
960;-41.457;13.884;-46.186
970;-40.311;17.358;-43.773
980;-38.269;19.663;-43.01
990;-36.44;21.999;-46.647
1000;-34.271;26.484;-50.277
1010;-33.481;31.518;-52.972
1020;-32.836;36.58;-54.09
1030;-32.329;40.109;-53.678
1040;-31.73;43.334;-51.626
1050;-30.028;46.574;-51.572
1060;-27.878;44.691;-51.03
1070;-24.19;39.62;-48.316
1080;-20.346;34.56;-43.473
1090;-18.412;31.907;-38.904
1100;-18.093;30.071;-34.237
1110;-18.16;28.253;-26.252
1120;-18.812;26.197;-17.218
1130;-20.227;25.955;-6.812
1140;-18.935;25.726;3.6
1150;-17.183;25.822;10.034
1160;-14.734;23.73;16.358
1170;-11.699;21.651;22.682
1180;-9.048;21.056;23.592
1190;-6.534;20.589;22.752
1200;-3.607;20.128;21.577
1210;-1.552;20.457;22.583
1220;-0.038;19.351;23.096
1230;0.615;18.251;24.62
1240;0.788;17.194;28.61
1250;0.665;14.021;33.065
1260;1.431;10.853;36.694
1270;1.407;7.907;41.424
1280;1.591;7.13;43.366
1290;1.385;6.361;44.303
1300;-0.031;4.384;46.536
1310;-1.555;7.7;49.77
1320;-4.869;11.029;50.836
1330;-7.649;15.399;51.84
1340;-8.493;16.971;52.847
1350;-8.072;18.546;55.394
1360;-7.239;20.453;54.48
1370;-5.928;22.809;53.571
1380;-4.331;25.175;53.127
1390;-4.954;22.412;47.932
1400;-4.418;19.33;44.738
1410;-5.003;16.247;40.124
1420;-7.386;12.666;35.851
1430;-9.135;7.885;32.217
1440;-9.844;3.105;30.313
1450;-10.588;1.804;28.603
1460;-11.429;-0.177;28.196
1470;-11.821;-2.157;30.466
1480;-12.199;-1.433;32.439
1490;-13.044;-0.619;33.982
1500;-14.359;0.277;34.731
1510;-14.953;1.414;35.487
1520;-14.72;2.319;33.615
1530;-13.93;3.223;36.353
1540;-12.739;4.528;39.043
1550;-12.01;6.433;41.512
1560;-11.16;8.338;41.67
1570;-9.514;11.572;41.801
1580;-8.168;14.694;40.928
1590;-5.363;18.008;39.723
1600;-3.966;21.323;36.406
1610;-2.43;23.708;33.066
1620;-0.175;26.258;29.866
1630;1.924;26.168;23.044
1640;4.396;27.502;18.994
1650;5.521;28.836;14.917
1660;5.614;29.716;14.836
1670;7.546;32.108;15.181
1680;7.593;34.444;14.752
1690;6.455;38.661;13.498
1700;6.792;41.259;9.469
1710;7.468;43.423;5.874
1720;8.247;44.708;0.076
1730;13.126;43.487;-1.886
1740;18.09;42.266;-4.309
1750;20.934;41.437;-5.793
1760;22.706;40.748;-9.208
1770;24.521;40.058;-12.463
1780;25.897;38.084;-13.703
1790;26.494;35.69;-9.717
1800;27.255;33.226;-5.193
1810;30.566;30.243;-1.874
1820;33.059;25.295;-0.848
1830;35.705;20.348;-0.914
1840;39.167;15.2;-0.114
1850;42.684;10.142;2.465
1860;41.601;5.084;4.759
1870;39.633;1.826;7.128
1880;37.368;0.836;9.553
1890;34.703;-0.086;10.459
1900;33.261;1.273;9.152
1910;32.658;2.361;7.692
1920;33.863;3.56;6.408
1930;36.754;0.799;6.568
1940;39.314;-3.194;7.052
1950;40.425;-7.188;9.419
1960;41.425;-8.164;13.632
1970;39.745;-8.337;18.568
1980;34.503;-8.53;19.463
1990;29.73;-10.363;21.946
2000;26.683;-12.181;23.957
2010;26.01;-14.254;28.061
2020;25.377;-15.767;29.221
2030;23.666;-15.92;27.411
2040;23.099;-16.073;19.454
2050;20.481;-14.236;15.127
2060;15.328;-11.761;13.15
2070;10.719;-9.287;9.302
2080;5.95;-9.614;7.366
2090;-0.892;-9.741;6.759
2100;-6.615;-10.472;3.745
2110;-7.945;-11.203;1.091
2120;-9.262;-14.072;-0.916
2130;-10.699;-16.941;-4.566
2140;-12.419;-19.81;-5.931
2150;-14.179;-22.4;-4.335
2160;-16.236;-24.99;-4.779
2170;-19.24;-26.119;-5.447
2180;-23.434;-23.232;-5.73
2190;-27.85;-21.734;-8.422
2200;-30.181;-20.236;-9.577
2210;-31.912;-21.092;-10.941
2220;-31.114;-22.909;-13.048
2230;-30.954;-24.726;-13.523
2240;-31.034;-24.063;-15.557
2250;-29.683;-23.401;-16.465
2260;-30.011;-24.095;-16.912
2270;-30.505;-25.515;-16.299
2280;-29.428;-26.972;-14.137
2290;-27.331;-28.43;-10.63
2300;-23.128;-31.313;-10.906
2310;-19.054;-31.09;-13.364
2320;-15.619;-30.866;-13.236
2330;-14.295;-27.014;-15.203
2340;-12.061;-23.161;-15.919
2350;-10.767;-21.345;-18.499
2360;-7.461;-19.487;-19.106
2370;-5.034;-17.029;-20.354
2380;-2.461;-15.183;-21.341
2390;-1.281;-13.269;-22.692
2400;0.702;-14.127;-22.09
2410;2.672;-14.985;-22.564
2420;4.36;-13.15;-20.942
2430;7.777;-11.316;-18.665
2440;10.543;-8.63;-16.313
2450;11.87;-4.345;-17.159
2460;12.611;-0.059;-18.793
2470;14.539;2.88;-18.378
2480;17.588;5.364;-17.848
2490;20.753;6.72;-16.994
2500;21.239;8.076;-18.146
2510;20.913;10.208;-21.185
2520;20.861;11.701;-21.401
2530;21.757;12.873;-23.767
2540;21.545;13.21;-27.745
2550;19.781;13.546;-32.164
2560;18.137;10.851;-34.023
2570;16.272;8.004;-32.214
2580;16.639;4.76;-28.967
2590;15.846;1.516;-32.281
2600;16.712;0.319;-32.503
2610;17.298;0.381;-34.908
2620;18.821;0.443;-34.088
2630;18.724;2.559;-31.047
2640;19.008;4.674;-30.448
2650;17.486;4.756;-33.743
2660;16.738;4.748;-32.895
2670;16.59;1.13;-34.524
2680;17.046;-4.568;-36.011
2690;18.56;-10.301;-35.597
2700;20.185;-16.52;-30.76
2710;22.444;-22.739;-28.669
2720;21.943;-25.2;-28.578
2730;20.905;-27.661;-28.326
2740;21.189;-29.818;-27.626
2750;23.204;-30.982;-26.597
2760;26.681;-32.146;-25.981
2770;25.868;-30.303;-26.412
2780;23.335;-29.143;-28.359
2790;22.262;-26.07;-23.272
2800;23.339;-22.997;-18.316
2810;24.246;-21.701;-11.419
2820;25.501;-20.404;-9.127
2830;27.476;-19.228;-6.754
2840;29.603;-19.331;-0.189
2850;28.57;-19.434;5.848
2860;26.425;-19.17;11.892
2870;23.228;-18.808;15.796
2880;21.076;-17.581;17.23
2890;19.434;-16.353;21.087
2900;17.742;-13.036;29.193
2910;16.81;-12.953;33.761
2920;15.974;-12.87;37.64
2930;13.698;-10.708;37.297
2940;11.468;-8.545;35.6
2950;8.563;-4.073;32.618
2960;5.338;0.399;33.491
2970;3.665;3.397;39.135
2980;3.059;7.396;44.462
2990;2.574;11.394;50.164
3000;2.24;17.753;53.814
3010;0.579;24.112;58.679
3020;3.371;23.681;62.535
3030;3.259;23.251;65.928
3040;3.868;21.738;63.83
3050;4.422;20.225;62.33
3060;5.09;21.152;60.023
3070;4.277;21.964;59.61
3080;3.541;22.777;56.694
3090;2.407;24.603;50.701
3100;2.339;26.429;43.663
3110;1.004;27.334;38.185
3120;-0.571;28.239;32.266
3130;-1.572;27.119;26.959
3140;-0.841;26.966;20.217
3150;-0.39;26.812;11.636
3160;-0.874;29.745;4.188
3170;-0.079;32.677;-2.727
3180;-0.942;36.919;-6.113
3190;-1.419;41.16;-6.629
3200;0.623;43.179;-4.447
3210;2.228;46.479;-3.454
3220;3.564;49.778;-7.574
