timepoints (min);46: wc-2,- -2;47: wc-2,- -3
720;-156.367;-106.681
730;-148.475;-96.218
740;-140.573;-87.4
750;-132.27;-79.464
760;-124.824;-72.31
770;-118.141;-66.62
780;-111.2;-63.087
790;-105.475;-59.95
800;-100.42;-57.18
810;-95.953;-53.957
820;-90.041;-50.917
830;-84.19;-48.583
840;-79.605;-46.859
850;-62.506;-31.171
860;-45.553;-15.474
870;-27.707;-8.545
880;-12.087;-3.049
890;-4.667;2.471
900;2.083;5.402
910;5.397;7.825
920;8.336;10.447
930;11.126;13.349
940;13.733;14.379
950;15.422;14.483
960;16.756;14.23
970;18.483;13.269
980;20.47;11.159
990;22.46;9.11
1000;23.735;7.236
1010;24.145;5.767
1020;24.802;5.569
1030;24.578;6.184
1040;25.73;6.802
1050;26.657;6.987
1060;27.745;6.902
1070;26.67;6.812
1080;25.611;7.128
1090;25.329;6.489
1100;25.048;5.805
1110;24.487;5.128
1120;23.007;5.288
1130;22.399;6.073
1140;21.809;7.021
1150;22.459;7.451
1160;22.993;6.385
1170;22.162;5.405
1180;21.265;4.57
1190;20.45;4.417
1200;21.086;4.574
1210;22.603;4.536
1220;24.066;5.142
1230;24.132;5.882
1240;23.992;6.328
1250;24.389;6.563
1260;25.721;6.684
1270;26.81;6.67
1280;28.303;7.001
1290;29.322;7.335
1300;30.191;7.972
1310;30.458;8.15
1320;31.604;8.196
1330;32.181;8.082
1340;32.707;10.09
1350;32.992;10.771
1360;33.953;11.45
1370;34.767;12.575
1380;34.801;13.074
1390;34.487;13.886
1400;34.132;13.492
1410;34.525;12.854
1420;35.526;12.083
1430;36.037;11.534
1440;36.186;11.021
1450;34.23;8.917
1460;31.994;6.814
1470;29.582;6.723
1480;27.857;7.043
1490;26.992;7.563
1500;25.178;8.703
1510;23.806;9.953
1520;22.346;10.526
1530;20.571;10.165
1540;19.105;10.164
1550;17.639;10.261
1560;16.585;12.105
1570;14.695;13.742
1580;13.486;15.592
1590;12.414;15.972
1600;12.374;16.61
1610;11.801;17.268
1620;10.52;17.041
1630;9.37;15.724
1640;8.076;14.407
1650;6.833;13.861
1660;4.59;14.89
1670;2.603;16.382
1680;1.674;17.957
1690;1.234;18.851
1700;-0.338;19.526
1710;-2.021;19.938
1720;-3.286;20.137
1730;-3.873;19.793
1740;-4.421;18.777
1750;-4.891;17.967
1760;-5.575;17.108
1770;-5.236;15.89
1780;-4.578;14.992
1790;-4.334;13.977
1800;-4.288;13.389
1810;-4.179;12.361
1820;-3.552;11.127
1830;-3.415;9.378
1840;-3.459;8.705
1850;-4.851;10.026
1860;-6.701;11.437
1870;-7.53;13.621
1880;-8.819;14.254
1890;-10.348;14.887
1900;-11.44;13.343
1910;-11.852;10.589
1920;-12.044;8.474
1930;-12.45;6.36
1940;-12.662;4.968
1950;-12.861;2.254
1960;-13.335;-0.233
1970;-14.35;-3.08
1980;-14.968;-4.979
1990;-15.559;-8.167
2000;-16.059;-11.237
2010;-16.767;-14.135
2020;-17.592;-15.847
2030;-18.326;-18.159
2040;-18.928;-20.436
2050;-19.801;-23.95
2060;-20.833;-28.425
2070;-22.876;-32.503
2080;-25.171;-36.123
2090;-27.244;-40.063
2100;-28.203;-44.767
2110;-27.801;-49.014
2120;-27.579;-53.65
2130;-26.29;-57.601
2140;-24.492;-61.799
2150;-23.586;-64.526
