timepoints (min);46: wc-2,- -2;47: wc-2,- -3
2160;-22.823;-65.761
2170;-22.203;-66.305
2180;-21.843;-66.883
2190;-22.083;-68.277
2200;-22.288;-69.337
2210;-22.177;-70.348
2220;-21.207;-70.01
2230;-20.488;-67.394
2240;-19.694;-62.985
2250;-18.377;-58.432
2260;-16.749;-54.766
2270;-15.281;-52.948
2280;-14.993;-50.687
2290;-14.746;-48.316
2300;-14.059;-46.106
2310;-12.803;-42.266
2320;-10.863;-38.815
2330;-8.648;-35.841
2340;-6.502;-32.901
2350;-4.934;-30.16
2360;-4.166;-27.714
2370;-3.308;-25.914
2380;-2.886;-24.134
2390;-1.995;-21.694
2400;-1.172;-17.47
2410;-0.378;-13.84
2420;0.654;-10.688
2430;2.023;-7.564
2440;4.313;-5.381
2450;7.2;-4.059
2460;9.901;-2.738
2470;11.909;-1.881
2480;13.979;-1.444
2490;15.433;-1.007
2500;16.07;0.397
2510;16.473;1.556
2520;15.848;3.321
2530;15.379;6.057
2540;15.2;8.334
2550;15.101;12.48
2560;14.659;13.745
2570;13.887;14.901
2580;12.841;15.735
2590;11.712;17.912
2600;10.815;20.088
2610;9.684;22.923
2620;8.56;27.332
2630;6.588;31.625
2640;3.855;35.717
2650;1.178;36.197
2660;-0.363;36.843
2670;-1.335;37.566
2680;-2.487;41.681
2690;-4.386;47.446
2700;-6.335;54.083
2710;-8.236;60.374
2720;-9.217;65.794
2730;-10.261;70.818
2740;-10.774;75.641
2750;-11.041;79.03
2760;-11.399;84.761
2770;-10.356;89.61
2780;-7.506;94.615
2790;-4.594;97.189
2800;-2.263;99.583
2810;-0.447;102.652
2820;1.032;104.716
2830;2.126;106.766
2840;3.732;106.975
2850;5.305;106.673
2860;7.968;106.248
2870;10.439;104.55
2880;13.931;102.29
2890;18.063;99.629
2900;22.017;97.447
2910;24.615;94.79
2920;25.59;91.583
2930;27.076;85.847
2940;28.879;80.03
2950;29.71;74.928
2960;30.487;68.109
2970;29.423;61.29
2980;28.761;52.454
2990;28.099;44.926
3000;28.237;37.397
3010;28.086;27.13
3020;25.858;16.89
3030;21.07;6.65
3040;16.214;-0.914
3050;11.937;-8.778
3060;8.859;-16.361
3070;5.982;-22.996
3080;3.145;-29.058
3090;-1.032;-34.92
3100;-5.153;-40.666
3110;-9.434;-46.292
3120;-12.189;-52.472
3130;-15.668;-58.85
3140;-20.357;-65.484
3150;-25.074;-71.458
3160;-30.154;-76.29
3170;-32.555;-80.611
3180;-35.286;-84.879
3190;-38.817;-88.634
3200;-42.298;-92.39
3210;-45.8;-95.43
3220;-47.785;-99.273
3230;-50.688;-103.156
3240;-52.95;-107.877
3250;-55.855;-111.034
3260;-58.167;-113.149
3270;-60.022;-113.59
3280;-59.437;-114.632
3290;-58.342;-115.57
3300;-57.284;-116.462
3310;-58.044;-116.019
3320;-58.825;-114.811
3330;-58.948;-112.648
3340;-58.654;-110.727
3350;-58.229;-109.079
3360;-57.964;-107.869
3370;-58.909;-106.659
3380;-59.964;-105.72
3390;-59.548;-103.95
3400;-57.837;-102.305
3410;-55.327;-98.821
3420;-53.276;-95.178
3430;-51.218;-91.873
3440;-48.763;-89
3450;-46.148;-82.968
3460;-43.636;-76.423
3470;-39.964;-65.734
3480;-33.568;-56.058
3490;-27.303;-46.313
3500;-19.977;-39.248
3510;-15.163;-33.143
3520;-10.287;-27.519
3530;-9.491;-22.15
3540;-9.541;-16.782
3550;-9.341;-11.374
3560;-7.236;-4.873
3570;-4.869;1.841
3580;-2.295;10.825
3590;0.497;20.494
3600;3.219;30.218
3610;7.366;39.041
3620;13.177;46.419
3630;18.726;54.477
3640;24.434;60.441
3650;27.568;65.725
3660;30.619;69.083
3670;31.726;72.077
3680;32.763;73.832
3690;33.792;76.131
3700;34.741;76.197
3710;35.697;76.374
3720;34.172;75.883
3730;30.691;76.109
3740;26.713;75.452
3750;22.095;76.057
3760;20.557;78.262
3770;18.888;77.508
3780;22.679;78.623
3790;27.197;77.57
3800;34.608;76.516
3810;41.019;74.214
3820;47.199;72.872
3830;53.087;68.651
3840;55.662;61.971
3850;57.626;55.388
3860;57.695;49.64
3870;59.039;46.611
3880;60.279;43.458
3890;58.961;41.476
3900;58.677;40.119
3910;59.248;37.474
3920;60.579;34.807
3930;61.159;33.577
3940;61.566;33.746
3950;60.516;32.59
3960;59.583;32.095
3970;59.861;28.926
3980;60.138;26.204
3990;60.971;24.021
4000;61.644;21.854
4010;61.261;18.648
4020;61.088;18.892
4030;58.697;17.72
4040;56.535;18.862
4050;51.674;20.472
4060;46.983;20.672
4070;43.034;19.822
4080;38.386;20.212
4090;37.458;22.287
4100;36.588;24.97
4110;35.821;28.132
4120;32.439;30.145
4130;29.236;32.534
4140;29.385;34.961
4150;29.506;36.702
4160;29.072;40.378
4170;27.917;42.924
4180;27.639;45.314
4190;26.477;46.236
4200;26.494;47.963
4210;24.84;49.022
4220;23.15;50.041
4230;24.058;50.468
4240;24.706;50.232
4250;26.927;49.276
4260;29.148;48.021
4270;29.794;46
4280;30.441;45.451
4290;31.574;44.919
4300;32.741;44.822
4310;34.29;43.674
4320;36.101;43.247
4330;37.054;41.165
4340;38.447;40.724
4350;40.083;39.537
4360;40.833;33.803
4370;41.121;27.429
4380;39.839;17.817
4390;37.399;8.644
4400;33.625;0.179
4410;29.703;-5.706
4420;23.159;-10.221
4430;16.676;-13.244
4440;11.126;-16.143
4450;5.575;-20.512
4460;3.561;-25.368
4470;1.844;-30.454
4480;-3.477;-34.819
4490;-8.07;-38.819
4500;-14.055;-43.068
4510;-19.64;-47.036
4520;-24.2;-49.79
4530;-29.4;-52.279
4540;-35.281;-55.149
4550;-40.299;-55.509
4560;-46.117;-55.229
4570;-52.226;-55.519
4580;-57.295;-55.448
4590;-63.65;-57.025
4600;-70.004;-56.772
4610;-75.754;-51.746
4620;-81.505;-50.27
4630;-85.811;-46.394
4640;-90.117;-45.039
4650;-92.721;-45.003
4660;-94.768;-47.063
4670;-93.292;-48.959
4680;-89.914;-51.662
4690;-87.138;-53.172
4700;-83.243;-52.003
4710;-80.828;-50.683
4720;-78.949;-47.953
4730;-76.27;-45.674
4740;-75.731;-44.295
4750;-75.419;-42.999
4760;-75.89;-42.721
4770;-76.229;-43.084
4780;-76.346;-43.561
4790;-76.594;-43.397
4800;-77.257;-45.447
4810;-78.139;-47.386
4820;-78.029;-48.469
4830;-77.246;-50.404
4840;-75.734;-51.419
4850;-75.143;-54.008
4860;-74.223;-54.783
4870;-70.644;-52.96
4880;-66.91;-51.119
4890;-64.121;-48.011
4900;-61.156;-43.993
4910;-57.982;-39.167
4920;-55.05;-34.12
4930;-50.772;-27.259
4940;-46.543;-22.068
4950;-42.217;-19.985
4960;-37.841;-17.954
4970;-32.563;-17.272
4980;-27.244;-15.786
4990;-21.183;-13.746
5000;-16.203;-11.983
5010;-10.495;-8.681
5020;-6.632;-5.713
5030;-2.371;-2.815
5040;0.352;0.048
5050;2.687;3.457
5060;4.652;7.306
5070;5.978;11.429
5080;8.061;16.727
5090;10.143;21.421
5100;14.513;26.875
5110;18.883;30.17
5120;23.259;30.847
5130;27.636;31.548
5140;33.432;33.789
5150;37.588;36.939
5160;41.578;38.833
5170;44.312;40.628
5180;43.826;40.967
5190;43.997;41.029
5200;42.848;42.604
5210;40.717;40.908
5220;38.226;40.406
5230;34.812;38.825
5240;31.399;39.88
5250;30.127;41.088
5260;29.37;43.676
5270;29.705;46.879
5280;28.368;49.727
5290;28.425;52.906
5300;27.897;55.623
5310;27.703;58.339
5320;28.931;60.761
5330;29.301;61.748
5340;31.098;62.377
5350;33.215;62.726
5360;35.498;64.596
5370;35.092;68.815
5380;34.577;71.277
5390;34.422;71.916
5400;36.004;71.568
5410;38.708;70.359
5420;42.709;69.703
5430;45.708;69.19
5440;48.029;69.623
5450;50.596;70
5460;53.383;72.211
5470;56.171;74.172
5480;59.234;74.941
5490;62.298;73.008
5500;63.47;69.516
5510;64.273;65.603
5520;65.952;60.41
5530;69.433;56.379
5540;72.953;52.625
5550;77.113;49.567
5560;81.159;47.469
5570;85.855;47.662
5580;90.552;49.332
5590;95.619;52.964
5600;99.367;56.006
5610;102.331;57.018
5620;106.055;57.92
5630;109.272;58.982
5640;111.728;57.772
5650;114.359;57.208
5660;115.629;54.084
5670;117.01;50.084
5680;118.963;44.04
5690;120.916;37.197
5700;121.214;30.452
5710;122.032;23.572
5720;117.269;14.885
5730;112.706;4.487
5740;107.592;-6.157
5750;103.037;-14.606
5760;95.761;-21.31
5770;86.506;-26.487
5780;77.775;-32.228
5790;68.637;-38.251
5800;59.727;-46.748
5810;50.895;-56.058
5820;40.006;-67.528
5830;28.59;-78.988
5840;15.335;-92.657
5850;0.967;-106.313
5860;-12.721;-119.814
5870;-26.872;-132.606
5880;-39.297;-143.503
5890;-51.963;-151.633
5900;-63.997;-159.894
5910;-75.966;-165.395
5920;-88.385;-170.767
5930;-100.36;-173.444
5940;-112.796;-174.526
5950;-123.739;-175.476
5960;-134.788;-175.172
5970;-139.072;-174.537
5980;-143.183;-171.803
5990;-145.589;-167.199
6000;-148.277;-163.299
6010;-147.007;-156.343
6020;-145.371;-149.408
6030;-144.47;-145.839
6040;-143.353;-144.606
6050;-143.134;-141.099
6060;-142.113;-134.892
6070;-141.058;-128.285
6080;-137.821;-114.535
6090;-134.604;-100.343
6100;-129.801;-87.739
6110;-124.716;-78.337
6120;-116.721;-69.774
6130;-109.869;-62.754
6140;-101.479;-56.066
6150;-94.004;-51.429
6160;-87.248;-46.985
6170;-80.571;-43.421
6180;-74.011;-39.639
6190;-66.028;-36.537
6200;-57.817;-32.532
6210;-49.974;-29.164
6220;-42.542;-26.466
6230;-36.328;-23.906
6240;-30.903;-21.826
6250;-25.178;-17.288
6260;-20.152;-17.75
6270;-14.953;-16.916
6280;-7.468;-11.565
6290;-0.148;-4.455
6300;8.822;4.292
6310;16.902;9.76
6320;24.378;18.077
6330;30.059;19.612
6340;35.628;22.121
6350;40.419;25.571
6360;45.16;36.021
6370;46.982;44.789
6380;48.942;55.197
6390;49.59;65.512
6400;50.321;78.098
6410;52.183;89.897
6420;54.851;102.454
6430;57.448;113.331
6440;59.683;125.28
6450;63.207;136.686
6460;67.659;146.512
6470;73.01;156.297
6480;78.563;164.192
6490;84.054;169.126
6500;89.572;171.712
6510;95.132;172.697
6520;102.688;172.026
6530;108.389;170.581
6540;112.96;170.189
6550;116.703;168.422
6560;117.738;167.652
6570;118.39;164.771
6580;118.139;159.626
6590;115.939;154.519
6600;113.643;149.542
6610;110.05;139.557
6620;106.218;131.012
6630;102.582;119.803
6640;98.885;109.177
6650;95.022;98.197
6660;90.891;88.952
6670;86.788;79.623
6680;82.748;72
6690;78.883;63.898
6700;73.814;57.123
6710;68.669;51.917
6720;63.31;46.739
6730;59.063;41.721
6740;54.21;38.199
6750;49.221;36.561
6760;42.928;37.292
6770;34.695;38.037
6780;26.935;39.062
6790;20.705;39.099
6800;14.35;38.097
6810;9.659;36.124
6820;5.037;33.763
6830;0.986;32.37
6840;-0.906;30.428
6850;-3.208;27.766
6860;-4.432;27.589
6870;-7.076;29.772
6880;-10.157;33.69
6890;-12.541;37.131
6900;-15.17;39.492
6910;-17.261;41.121
6920;-19.592;41.31
6930;-21.502;41.07
6940;-23.641;40.879
6950;-25.783;39.779
6960;-28.381;38.11
6970;-31.214;36.561
6980;-34.785;36.135
6990;-37.314;32.709
7000;-40.179;25.109
7010;-41.69;16.418
7020;-43.317;9.789
7030;-46.145;3.062
7040;-49.662;-4.745
7050;-53.865;-12.375
7060;-57.374;-20.13
7070;-60.509;-27.124
7080;-63.505;-33.03
7090;-66.106;-39.436
7100;-68.539;-45.928
7110;-71.265;-52.848
7120;-73.43;-61.532
7130;-75.32;-70.223
7140;-77.65;-77.797
7150;-79.457;-84.364
7160;-80.753;-90.931
7170;-81.727;-96.712
7180;-83.019;-101.72
7190;-84.292;-107.243
7200;-84.833;-113.916
7210;-84.994;-119.761
7220;-83.759;-126.499
7230;-81.003;-133.389
7240;-78.357;-136.836
7250;-76.31;-138.622
7260;-74.342;-139.494
7270;-73.632;-141.665
7280;-72.429;-144.001
7290;-71.512;-145.408
7300;-69.868;-145.793
7310;-67.818;-145.814
7320;-65.883;-145.194
7330;-63.858;-144.748
7340;-63.313;-143.749
7350;-62.603;-141.392
7360;-62.243;-139.514
7370;-61.112;-137.826
7380;-58.863;-136.193
7390;-57.314;-134.892
7400;-54.887;-132.876
7410;-53.314;-130.353
7420;-51.759;-126.39
7430;-49.415;-123.046
7440;-47.417;-119.153
7450;-44.298;-115.288
7460;-41.359;-111.36
7470;-37.439;-107.108
7480;-34.183;-103.37
7490;-29.332;-99.32
7500;-23.423;-95.222
7510;-19.779;-90.079
7520;-14.85;-85.395
7530;-10.593;-79.094
7540;-5.596;-72.861
7550;-0.488;-66.4
7560;4.699;-60.954
7570;9.945;-56.141
7580;14.823;-51.375
7590;20.684;-46.779
7600;25.808;-42.532
7610;31.251;-37.985
7620;36.913;-33.658
7630;41.492;-28.058
7640;47.265;-23.208
7650;53.277;-16.138
7660;59.179;-8.543
7670;65.121;-1.308
7680;70.677;5.749
7690;75.881;13.09
7700;79.385;21.706
7710;82.728;32.201
7720;83.459;43.048
7730;84.68;54.015
7740;84.546;64.593
7750;84.546;71.832
7760;86.226;77.117
7770;87.43;79.954
7780;87.956;81.446
7790;88.074;83.348
7800;87.352;88.32
7810;86.24;93.592
7820;85.337;101.924
7830;84.655;110.881
7840;84.854;119.77
7850;85.57;131.186
7860;86.361;142.948
7870;86.553;151.488
7880;86.621;158.819
7890;85.254;166.157
7900;82.837;168.319
7910;79.447;169.581
7920;76.199;169.724
7930;71.45;169.327
7940;66.963;168.806
7950;61.754;164.597
7960;57.291;158.026
7970;52.648;150.75
7980;48.285;143.559
7990;43.95;137.374
8000;38.679;134.945
8010;34.116;132.488
8020;29.077;131.983
8030;25.342;131.277
8040;21.579;131.174
8050;18.913;128.098
8060;16.222;124.801
8070;13.306;116.585
8080;10.57;107.405
8090;6.713;96.283
8100;3.062;83.017
8110;-0.909;70.178
8120;-4.748;62.028
8130;-8.778;53.972
8140;-12.663;46.036
8150;-17.097;40.448
8160;-20.528;34.211
8170;-23.993;28.881
8180;-25.938;24.359
8190;-28.062;20.37
8200;-30.106;18.206
8210;-32.825;14.713
8220;-35.375;13.226
8230;-38.199;12.112
8240;-40.458;9.822
8250;-41.673;6.868
8260;-43.266;3.248
8270;-44.28;1.079
8280;-45.72;-1.146
8290;-46.28;-4.839
8300;-46.564;-8.732
8310;-47.03;-12.29
8320;-46.956;-13.716
8330;-48.327;-15.156
8340;-48.996;-15.516
8350;-50.185;-16.022
8360;-51.454;-16.23
8370;-50.596;-17.727
8380;-50.055;-19.841
8390;-49.404;-22.959
8400;-49.153;-25.814
8410;-48.612;-26.719
8420;-47.138;-27.012
8430;-45.766;-26.952
8440;-45.753;-30.57
8450;-45.286;-33.712
8460;-45.283;-35.323
8470;-45.359;-38
8480;-45.09;-42.257
8490;-45.054;-47.12
8500;-44.714;-51.57
8510;-44.055;-54.025
8520;-43.479;-58.068
8530;-42.452;-60.879
8540;-42.341;-63.018
8550;-42.079;-64.716
8560;-41.844;-66.589
8570;-41.072;-68.527
8580;-38.585;-71.178
8590;-35.6;-73.283
8600;-32.674;-76.052
8610;-29.611;-78.877
8620;-29.588;-82.192
8630;-29.848;-84.359
8640;-29.935;-85.738
8650;-29.274;-85.607
8660;-27.808;-85.352
8670;-27.16;-84.69
8680;-26.914;-83.716
8690;-25.392;-80.246
8700;-24.81;-78.116
8710;-23.908;-77.796
8720;-22.902;-78.097
8730;-21.217;-75.64
8740;-19.752;-72.146
8750;-18.265;-67.194
8760;-17.023;-63.31
8770;-15.742;-59.106
8780;-14.836;-57.568
8790;-13.934;-56.051
8800;-13.389;-53.612
8810;-13.018;-50.356
8820;-13.527;-47.03
8830;-13.877;-45.076
8840;-14.092;-43.218
8850;-13.866;-41.436
8860;-12.812;-40.11
8870;-11.142;-38.145
8880;-9.172;-36.352
8890;-7.363;-34.434
8900;-5.501;-33.119
8910;-4.098;-33.421
8920;-2.743;-33.647
8930;-2.429;-34.484
8940;-2.066;-33.993
8950;-0.859;-29.404
8960;0.292;-23.298
8970;2.412;-15.572
8980;3.646;-8.77
8990;4.687;-1.739
9000;5.479;1.858
9010;4.986;5.166
9020;4.367;5.985
9030;3.575;8.252
9040;4.023;13.85
9050;4.265;14.548
9060;5.83;15.121
9070;7.697;14.476
9080;8.785;15.887
9090;9.543;17.248
9100;9.433;18.668
9110;8.481;19.323
9120;7.964;20.022
9130;7.691;21.247
9140;7.721;22.628
9150;8.192;24.01
9160;8.461;23.593
9170;9.021;21.6
9180;10.651;19.814
9190;11.295;17.457
9200;11.85;13.004
9210;11.006;10.025
9220;9.441;6.211
9230;9.69;2.052
9240;10.098;-2.597
9250;10.223;-5.872
9260;11.909;-8.486
9270;13.695;-8.513
9280;16.023;-8.486
9290;16.992;-11.498
9300;17.992;-11.105
9310;18.097;-10.137
9320;17.255;-7.783
9330;17.288;-6.661
9340;17.221;-5.188
9350;18.753;-3.859
9360;20.286;-1.552
9370;21.425;0.348
9380;21.945;2.948
9390;22.108;5.339
9400;21.792;7.897
9410;21.091;11.377
9420;20.134;16.474
9430;18.64;21.048
9440;17.688;25.839
9450;16.599;30.663
9460;16.789;35.756
9470;16.862;40.146
9480;15.394;44.418
9490;14.034;48.774
9500;12.752;52.542
9510;11.414;57.098
9520;10.153;61.015
9530;8.357;65.775
9540;5.807;69.514
9550;3.658;71.917
9560;1.599;72.506
9570;1.379;73.137
9580;0.946;75.312
9590;0.617;77.069
9600;-0.486;79.117
9610;-1.945;81.65
9620;-3.397;84.065
9630;-3.92;84.353
9640;-4.017;84.239
9650;-3.499;84.259
9660;-3.324;84.52
9670;-3.225;84.815
9680;-3.046;86.138
9690;-2.339;86.225
9700;-1.006;87.777
9710;0.626;87.553
9720;2.154;85.96
9730;3.618;81.157
9740;4.098;76.141
9750;4.432;70.526
9760;3.618;64.324
9770;3.044;56.752
9780;2.126;47.123
9790;3.007;37.88
9800;3.634;29.223
9810;4.181;21.55
9820;4.04;14.326
9830;2.68;7.637
9840;1.559;0.666
9850;1.233;-5.687
9860;1.113;-12.953
9870;1.581;-20.47
9880;0.648;-26.713
9890;-0.188;-32.677
9900;-2.462;-38.908
9910;-3.872;-44.33
9920;-5.348;-50.806
9930;-6.608;-57.964
9940;-7.604;-65.716
9950;-9.138;-74.575
9960;-10.481;-83.441
9970;-11.596;-89.36
9980;-12.407;-91.337
9990;-12.818;-92.985
10000;-13.153;-93.938
10010;-13.054;-95.67
10020;-13.292;-97.018
10030;-13.006;-97.048
10040;-13.937;-97.425
10050;-14.64;-97.054
10060;-15.352;-96.428
10070;-16.048;-95.414
10080;-15.212;-95.389
10090;-14.39;-94.952
10100;-14.029;-95.21
10110;-13.633;-96.392
10120;-13.503;-97.908
10130;-12.931;-99.423
10140;-12.09;-98.35
10150;-10.561;-97.477
10160;-9.553;-94.389
10170;-8.734;-90.914
10180;-5.794;-87.599
10190;-5.073;-83.953
10200;-4.214;-81.148
10210;-3.618;-76.542
10220;-2.858;-72.177
10230;-1.458;-67.859
10240;0.326;-62.251
10250;2.029;-55.883
10260;4.004;-49.466
10270;6.139;-42.25
10280;7.57;-37.277
10290;8.13;-32.23
10300;7.17;-26.85
10310;6.375;-20.79
10320;5.061;-15.091
10330;3.73;-8.687
10340;3.088;-1.483
10350;1.994;5.445
10360;2.519;12.272
10370;2.59;19.269
10380;3.316;27.005
10390;3.717;31.742
10400;3.314;36.341
10410;2.512;36.902
10420;1.861;37.676
10430;-1.113;39.132
10440;-2.375;42.748
10450;-3.974;46.328
10460;-5.168;48.428
10470;-5.422;49.479
10480;-6.233;51.241
10490;-6.444;51.461
10500;-6.746;51.619
10510;-7.172;50.393
10520;-7.749;49.512
10530;-8.388;51.534
10540;-7.919;54.531
10550;-6.185;60.27
10560;-5.091;65.166
10570;-3.596;69.806
10580;-3.221;69.528
10590;-3.59;67.956
10600;-3.88;65.822
10610;-4.931;67.374
10620;-5.837;68.677
10630;-7.183;68.651
10640;-8.288;69.185
10650;-8.473;68.316
10660;-7.683;69.207
10670;-7.254;69.625
10680;-6.279;68.821
10690;-5.317;66.177
10700;-2.512;62.52
10710;0.57;58.903
10720;2.782;55.992
10730;4.988;52.12
10740;5.897;49.629
10750;7.894;47.137
10760;9.801;46.284
10770;12.375;46.21
10780;14.963;45.655
10790;18.006;44.868
10800;21.055;41.745
10810;22.963;38.45
10820;24.143;35.513
10830;26.334;37.177
10840;28.561;39.45
10850;30.619;41.912
10860;31.502;40.724
10870;32.35;39.399
10880;33.543;37.934
10890;35.057;36.097
10900;36.812;35.444
10910;37.448;33.97
10920;38.397;33.237
10930;38.247;32.761
10940;37.687;32.361
10950;35.943;33.6
10960;34.56;34.942
10970;33.257;35.883
10980;31.873;36.495
10990;30.903;36.168
11000;27.774;35.098
11010;24.623;34.2
11020;20.894;31.967
11030;18.01;29.754
11040;14.054;27.76
11050;9.498;25.615
11060;6.517;24.746
11070;4.068;23.115
11080;2.288;20.723
11090;0.389;17.658
11100;-1.324;14.593
11110;-2.781;11.383
11120;-4.73;6.043
11130;-7.017;1.142
11140;-9.99;-5.687
11150;-12.472;-12.436
11160;-13.95;-19.292
11170;-14.806;-26.149
11180;-15.132;-32.106
11190;-14.876;-37.702
11200;-14.474;-44.138
11210;-14.796;-48.745
11220;-15.557;-53.752
11230;-16.114;-59.359
11240;-16.992;-65.062
11250;-16.819;-70.727
11260;-17.366;-76.606
11270;-17.761;-83.644
11280;-18.872;-90.239
11290;-19.902;-96.756
11300;-20.367;-101.51
11310;-22.432;-106.272
11320;-24.108;-109.753
11330;-26.663;-113.269
11340;-27.444;-116.625
11350;-28.514;-119.81
11360;-29.065;-122.363
11370;-29.088;-121.076
11380;-29.192;-119.706
11390;-29.032;-116.233
11400;-29.611;-112.574
11410;-29.861;-109.898
11420;-30.858;-107.503
11430;-31.408;-105.491
11440;-31.932;-104.28
11450;-31.923;-103.124
11460;-31.019;-103.148
11470;-29.393;-102.592
11480;-28.012;-101.593
11490;-26.229;-99.401
11500;-24.753;-97.077
11510;-22.69;-91.383
11520;-20.921;-84.972
11530;-18.912;-81.892
11540;-17.677;-78.771
11550;-16.302;-77.394
11560;-13.541;-77.659
11570;-10.313;-78.179
11580;-6.786;-78.419
11590;-4.928;-77.804
11600;-2.705;-74.709
11610;-1.401;-71.483
11620;0.058;-68.746
11630;1.625;-66.13
11640;3.596;-64.012
11650;5.607;-60.095
11660;7.241;-54.906
11670;9.021;-48.64
11680;10.16;-42.243
11690;11.23;-36.222
11700;11.774;-30.512
11710;11.73;-22.348
11720;11.437;-13.472
11730;11.134;-4.621
11740;11.208;5.034
11750;11.563;14.903
11760;12.466;22.51
11770;13.432;29.993
11780;14.034;39.703
11790;15.05;50.51
11800;15.305;61.388
11810;15.483;69.905
11820;15.181;78.594
11830;14.868;88.676
11840;14.441;98.674
11850;13.375;104.737
11860;12.668;110.279
11870;12.6;114.691
11880;13.848;119.103
11890;14.817;123.585
11900;15.49;125.634
11910;15.796;127.684
11920;15.041;128.959
11930;14.321;131.455
11940;13.881;134.575
11950;13.694;139.174
11960;14.066;141.621
11970;14.243;143.246
11980;14.779;144.891
11990;14.679;143.801
12000;14.727;143.85
12010;14.095;143.342
12020;13.81;140.644
12030;13.804;138.343
12040;13.768;136.498
12050;14.572;134.411
12060;14.974;134.439
12070;14.771;130.741
12080;14.648;125.647
12090;14.039;122.913
12100;13.869;121.465
12110;13.512;116.537
12120;12.676;112.258
12130;9.592;108.058
12140;6.772;103.618
12150;4.193;99.858
12160;2.647;96.338
12170;1.741;92.779
12180;0.892;88.281
12190;0.061;82.435
12200;-2.171;74.881
12210;-4.272;66.706
12220;-7.252;59.448
12230;-10.441;52.011
12240;-13.35;45.103
12250;-16.236;36.492
12260;-19.046;26.451
12270;-21.386;18.859
12280;-23.699;11.75
12290;-25.572;3.12
12300;-27.068;-3.352
12310;-28.283;-7.95
12320;-28.428;-8.909
12330;-28.621;-9.743
12340;-27.757;-15.702
12350;-26.942;-23.215
12360;-26.41;-26.542
12370;-26.279;-30.109
12380;-25.388;-34.421
12390;-24.251;-39.052
12400;-23.128;-44.775
12410;-23.214;-51.117
12420;-23.217;-57.979
12430;-23.957;-64.876
