timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
800;-190.065;-161.844;-277.937;-157.684;-113.413;-115.256;-116.424;-176.57;-130.22;-16.632;40.313;30.223;24.693;-20.924;-79.603
810;-190.751;-160.259;-274.154;-149.822;-111.898;-99.737;-116.857;-169.376;-131.376;-9.722;42.265;33.772;24.164;-22.616;-71.573
820;-191.707;-159.427;-270.827;-140.427;-107.12;-86.373;-117.413;-159.947;-128.213;-3.84;43.8;34.427;24.187;-25.733;-67.533
830;-191.648;-159.174;-266.875;-131.964;-101.247;-57.48;-116.78;-152.02;-125.484;1.704;39.901;34.885;22.882;-28.809;-62.609
840;-192.756;-159.676;-263.64;-123.062;-96.029;-51.155;-114.446;-141.789;-120.105;5.916;37.372;34.672;22.358;-32.635;-58.458
850;-192.868;-163.701;-260.62;-116.585;-93.064;-45.697;-112.534;-132.239;-115.329;8.12;35.239;33.761;21.248;-39.265;-55.167
860;-192.343;-167.959;-256.077;-112.194;-91.037;-44.358;-111.388;-123.897;-110.007;10.712;33.729;33.571;21.428;-46.873;-49.738
870;-193.562;-169.837;-250.65;-107.988;-89.125;-42.538;-110.85;-118.237;-104.425;14;32.325;32.963;21.413;-53.063;-46.325
880;-196.97;-172.527;-246.531;-102.824;-82.34;-40.965;-109.467;-112.242;-99.099;17.774;32.254;32.54;19.409;-58.841;-45.748
890;-200.61;-175.581;-243.365;-98.667;-70.262;-38.422;-107.571;-108.654;-93.184;21.325;31.014;29.622;15.563;-65.451;-44.911
900;-203.368;-177.384;-239.313;-95.607;-62.475;-36.186;-105.91;-105.113;-87.738;25.057;29.38;30.324;12.098;-72.972;-43.779
910;-205.048;-177.97;-236.935;-90.911;-55.143;-33.786;-103.143;-101.589;-84.446;30.744;27.887;30.452;7.613;-78.244;-46.292
920;-206.148;-178.308;-236.188;-84.894;-50.925;-31.788;-101.595;-96.882;-81.471;37.374;27.162;30.381;2.833;-83.226;-47.616
930;-198.902;-169.754;-222.805;-68.742;-40.553;-19.135;-99.174;-80.035;-74.538;63.597;35.529;38.469;4.033;-86.093;-32.909
940;-194.274;-165.114;-211.607;-52.524;-30.456;-6.926;-98.589;-64.356;-67.584;86.377;41.117;46.245;4.766;-89.702;-18.065
950;-191.99;-163.004;-203.38;-38.575;-21.237;1.607;-97.816;-51.561;-62.258;99.386;41.469;50.037;1.252;-94.199;-10.621
960;-189.673;-161.896;-195.956;-26.954;-12.009;10.693;-97.041;-38.935;-57.005;101.825;40.072;50.216;-7.316;-98.873;-9.433
970;-186.636;-162.687;-187.56;-14.8;-2.376;14.558;-94.264;-31.124;-53.756;97.864;36.087;48.753;-16.958;-105.324;-10.611
980;-183.897;-163.682;-179.705;-3.947;7.767;19.016;-90.953;-23.281;-50.432;94.816;30.769;49.02;-25.643;-111.793;-13.137
990;-182.247;-161.566;-173.842;6.192;15.025;25.562;-87.578;-19.39;-47.341;88.322;24.422;50.078;-34.031;-119.471;-14.965
1000;-180.125;-159.757;-169.693;16.36;22.268;27.219;-82.907;-16.358;-42.517;85.326;16.682;47.707;-42.731;-129.712;-17.903
1010;-177.631;-158.545;-165.208;26.615;27.565;29.538;-79.54;-12.682;-37.57;81.946;8.548;44.112;-51.52;-137.916;-21.923
1020;-174.629;-157.331;-160.192;37.602;30.585;31.451;-73.728;-10.017;-31.255;76.396;1.032;41.343;-61.568;-142.598;-25.916
1030;-171.112;-156.664;-156.074;43.821;33.605;34;-66.135;-7.344;-26.496;68.244;-6.542;39.795;-67.445;-148.93;-28.973
1040;-167.71;-155.982;-151.456;48.791;40.281;36.535;-58.537;-3.828;-21.293;58.241;-12.073;36.395;-75.225;-155.066;-31.545
1050;-164.813;-155.132;-145.863;53.791;49.827;36.278;-57.518;-1.133;-17.923;50.877;-15.666;31.691;-81.004;-160.066;-36.011
1060;-159.421;-154.823;-138.19;60.093;59.366;33.723;-50.932;0.632;-12.102;47.6;-22.552;31.863;-87.102;-163.381;-41.143
1070;-154.28;-150.93;-130.71;65.03;63.66;31.01;-44.21;0.76;-7.93;46.4;-31.71;32.73;-93.66;-168.54;-45.61
1080;-150.886;-146.829;-124.021;69.273;67.144;17.255;-38.292;2.275;-3.741;45.289;-37.044;30.239;-100.038;-171.907;-50.357
1090;-147.313;-144.326;-117.584;72.562;70.625;16.409;-33.864;0.84;-1.402;45.208;-41.113;26.125;-106.602;-171.235;-54.363
1100;-143.768;-139.282;-111.987;78.207;76.149;15.874;-29.546;-1.553;2.134;44.77;-45.832;22.353;-112.489;-170.496;-57.907
1110;-140.973;-131.252;-106.885;86.861;82.973;15.372;-27.87;-4.815;4.492;43.415;-49.752;17.554;-119.631;-168.4;-63.595
1120;-137.314;-124.331;-101.368;95.303;91.225;14.255;-25.968;-6.777;6.097;41.335;-52.642;12.731;-126.566;-164.608;-68.147
1130;-132.248;-118.711;-97.198;97.56;95.609;11.83;-24.509;-6.898;8.021;36.895;-56.905;7.971;-131.8;-161.328;-72.129
1140;-127.582;-113.898;-93.979;104.942;97.018;13.159;-22.421;-4.59;9.492;31.714;-60.012;6.12;-133.714;-158.726;-76.455
1150;-123.401;-110.043;-91.957;110.043;98.336;14.148;-20.454;-2.282;10.02;26.54;-62.952;1.522;-136.128;-156.065;-79.18
1160;-118.924;-107.012;-87.622;113.44;99.312;12.697;-19.257;-2.15;10.655;19.241;-67.145;-2.726;-139.161;-155.001;-77.926
1170;-115.611;-103.962;-81.433;115.48;98.676;11.724;-17.338;-3.973;10.893;10.376;-73.733;-7.342;-142.231;-152.691;-77.518
1180;-112.134;-101.665;-74.412;117.171;97.122;10.418;-15.836;-7.477;13.197;2.756;-81.76;-12.934;-145.35;-148.844;-76.733
1190;-108.097;-97.855;-67.068;117.09;95.364;11.408;-12.085;-9.445;16.174;-3.238;-87.204;-18.529;-148.808;-143.994;-74.457
1200;-101.709;-94.1;-57.648;116.355;91.806;13.755;-7.853;-11.779;15.885;-10.358;-93.003;-24.349;-149.963;-138.701;-71.341
1210;-93.146;-90.71;-47.038;113.321;89.755;15.784;-4.162;-11.183;16.344;-14.68;-98.171;-30.372;-149.995;-133.831;-68.499
1220;-85.283;-86.143;-37.04;108.483;87.706;16.894;-1.075;-9.744;16.69;-16.428;-101.414;-36.473;-150.212;-129.341;-64.953
1230;-77.567;-81.337;-27.354;103.73;84.981;17.791;1.906;-10.005;16.47;-20.335;-102.71;-43.542;-150.426;-125.742;-63
1240;-69.145;-78.971;-17.157;96.034;81.022;16.577;6.539;-10.222;16.022;-23.16;-105.268;-50.342;-150.995;-119.447;-62.08
1250;-60.092;-75.594;-6.103;88.674;77.077;16.65;8.733;-9.499;16.744;-28.773;-106.43;-55.628;-150.41;-114.214;-60.482
1260;-53.18;-70.716;4.001;78.565;76.159;16.528;11.029;-7.422;17.658;-34.539;-107.249;-59.641;-149.53;-110.146;-59.888
1270;-47.093;-66.142;13.172;67.415;78.587;15.815;10.435;-4.365;19.347;-36.342;-108.057;-63.927;-147.843;-106.017;-59.722
1280;-40.642;-60.123;22.174;60.558;81.024;14.025;10.117;-1.308;22.747;-36.674;-108.576;-69.281;-144.866;-98.562;-59.002
1290;-34.206;-52.359;31.455;55.274;79.088;11.5;10.899;1.436;27.155;-35.638;-107.747;-76.193;-141.938;-93.024;-57.967
