timepoints (min);46: wc-2-.1;47: wc-2-.2;48: wc-2-.3
690;-217.925;-156.567;-99.529
700;-204.869;-146.411;-95.338
710;-193.667;-136.32;-90.8
720;-183.967;-127.53;-86.842
730;-174.972;-119.705;-83.446
740;-167.137;-113.44;-80.44
750;-160.209;-107.856;-75.901
760;-153.05;-102.963;-71.813
770;-146.407;-97.751;-66.847
780;-140.417;-93.038;-62.325
790;-134.035;-88.961;-58.02
800;-128.024;-84.464;-54.071
810;-122.52;-80.358;-51.315
820;-103.289;-68.586;-44.728
830;-84.036;-57.162;-38.34
840;-64.773;-45.681;-32.065
850;-55.061;-34.711;-25.065
860;-45.307;-23.731;-17.658
870;-35.544;-12.665;-10.248
880;-24.334;-7.952;-5.624
890;-20.608;-3.231;-0.996
900;-16.822;1.549;1.047
910;-13.579;4.335;3.095
920;-11.336;7.126;5.775
930;-9.067;9.881;8.455
940;-7.093;10.762;11.524
950;-5.686;11.648;14.592
960;-4.27;11.67;17.23
970;-2.124;12.619;19.864
980;-0.386;13.682;22.418
990;1.362;15.229;24.972
1000;3.36;15.82;26.406
1010;4.587;16.406;27.84
1020;5.823;16.435;28.503
1030;7.228;16.469;29.165
1040;7.874;16.664;30.113
1050;8.526;16.82;31.061
1060;10.264;16.976;32.051
1070;12.165;17.179;33.045
1080;14.07;18.341;33.533
1090;15.619;19.503;34.024
1100;17.834;21.054;33.798
1110;20.05;22.407;33.082
1120;21.99;23.814;32.809
1130;22.551;24.422;33.121
1140;23.114;24.231;33.438
1150;24.078;24.159;33.658
1160;25.585;24.527;33.882
1170;27.094;24.893;32.592
1180;28.806;25.152;31.303
1190;30.766;27.733;29.547
1200;32.729;30.314;27.796
1210;34.256;32.76;27.584
1220;35.201;33.849;27.377
1230;36.146;34.941;26.887
1240;37.453;36.122;26.402
1250;38.318;36.425;24.796
1260;39.188;36.806;23.195
1270;40.541;37.068;20.82
1280;41.981;37.209;18.448
1290;43.42;37.291;15.695
1300;44.34;36.814;12.942
1310;43.905;36.338;11.387
1320;43.475;35.819;9.833
1330;43.048;34.382;8.841
1340;43.552;32.946;7.855
1350;44.054;31.606;6.503
1360;44.556;30.826;5.156
1370;44.463;30.046;3.027
1380;44.371;29.266;0.545
1390;44.28;29.967;-1.883
1400;43.088;30.585;-3.531
1410;41.898;30.644;-5.177
1420;37.281;28.735;-6.262
1430;32.425;26.833;-7.313
1440;27.706;23.091;-7.884
1450;24.532;19.349;-8.455
1460;21.679;15.731;-11.018
1470;18.777;12.273;-13.581
1480;15.875;10.05;-15.19
1490;22.601;7.764;-16.724
1500;28.997;7.119;-16.964
1510;35.393;6.839;-17.204
1520;36.563;6.407;-17.499
1530;37.684;6.255;-17.794
