timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
740;-130.153;-155.119;-234.238;-300.84;-219.444;-175.497;-57.605;-97.035;27.014;-99.6;-63.713;-106.54;15.142;-138.146;-106.468
750;-117.691;-149.597;-224.732;-295.154;-215.958;-167.99;-57.654;-87.784;31.996;-93.88;-61.338;-100.365;18.346;-129.253;-85.017
760;-106.947;-145.773;-216.96;-290.293;-213.893;-159.68;-57.587;-78.44;35.44;-89;-59.747;-93.747;20.347;-120.453;-63.573
770;-99.967;-142.806;-209.622;-285.773;-212.224;-148.158;-56.184;-70.276;39.283;-85.891;-58.444;-88.48;22.605;-110.296;-44.882
780;-93.761;-139.141;-202.495;-279.993;-210.184;-134.796;-54.914;-61.854;44.381;-82.597;-57.023;-82.784;24.749;-100.174;-29.33
790;-90.094;-135.504;-196.098;-273.342;-208.509;-121.846;-51.534;-54.201;49.585;-78.15;-56.436;-77.393;25.842;-90.38;-17.047
800;-85.015;-132.013;-188.678;-266.841;-206.422;-110.484;-48.774;-47.308;52.28;-73.215;-56.026;-72.506;25.94;-81.109;-7.917
810;-77.6;-127.45;-179.4;-260.325;-203.1;-99.788;-44.688;-40.813;54.487;-70.238;-55.762;-66.9;27.25;-72.375;0.075
820;-68.878;-121.069;-168.587;-254.619;-199.231;-89.877;-40.543;-35.601;54.866;-67.612;-56.286;-61.231;28.996;-61.099;6.907
830;-60.282;-114.329;-156.43;-248.563;-195.488;-82.449;-36.744;-30.876;55.274;-64.707;-56.891;-55.992;30.278;-49.058;14.019
840;-53.233;-107.316;-144.865;-242.096;-191.086;-78.081;-33.135;-27.529;54.987;-62.816;-57.564;-50.913;32.576;-37.172;21.909
850;-46.917;-99.607;-134.232;-235.006;-187;-74.726;-29.786;-24.208;55.929;-61.244;-57.952;-46.685;34.637;-26.214;28.595
860;-40.904;-91.774;-122.774;-226.449;-183.64;-70.962;-27.186;-21.988;56.567;-60.287;-58.381;-42.315;36.755;-15.746;34.591
870;-26.171;-74.323;-103.52;-207.782;-175.325;-56.304;-20.644;-11.359;67.334;-51.569;-55.991;-32.952;45.673;1.528;54.047
880;-14.124;-56.606;-82.133;-188.854;-165.64;-41.93;-12.993;-0.731;80.213;-42.186;-52.881;-23.591;55.538;18.829;73.39
890;-5.37;-39.026;-63.278;-171.402;-157.595;-30.319;-5.102;9.736;86.439;-34.41;-49.77;-14.873;62.119;33.569;87.992
900;0.489;-20.881;-46.747;-154.847;-150.29;-20.032;-0.307;16.774;90.3;-25.627;-46.656;-8.488;66.136;47.233;101.244
910;4.676;-5.191;-30.844;-138.069;-142.12;-9.74;6.873;23.798;90.56;-15.793;-46.213;-2.111;66.902;62.438;112.802
920;8.904;7.499;-16.383;-121.855;-133.433;0.222;11.612;29.842;87.9;-8.45;-45.777;2.647;69.625;78.955;120.536
930;13.503;20.179;-1.709;-105.546;-123.22;9.41;17.501;33.389;83.747;-0.459;-45.347;5.166;73.215;94.144;125.907
940;19.868;27.661;15.011;-90.246;-112.22;17.754;23.282;37.12;80.671;6.854;-44.123;8.567;77.577;107.862;131.024
950;27.915;33.372;32.037;-77.191;-100.354;26.161;28.253;38.156;74.776;13.532;-43;11.708;79.496;120.381;135.878
960;36.004;38.442;49.585;-64.861;-89.158;35.034;33.194;39.177;71.495;20.286;-41.88;14.844;78.078;134.027;141.992
970;39.2;43.947;67.8;-52.777;-77.368;44.552;40.325;40.903;67.612;24.56;-40.804;17.776;79.449;146.799;146.887
980;39.002;51.69;83.476;-40.751;-65.533;55.128;46.609;40.904;62.113;28.299;-40.009;21.206;79.879;154.77;147.594
990;38.81;58.298;94.618;-28.133;-53.977;64.79;53.484;40.899;59.058;30.449;-39.212;24.602;81.515;161.195;146.26
1000;36.843;66.994;103.389;-15.548;-43.095;74.299;59.751;40.598;52.199;31.453;-38.772;26.212;84.644;168.113;143.354
1010;34.91;75.75;112.97;-3.62;-32.31;81.35;66.3;39.53;45.89;33.38;-39.91;27.12;89.85;175.15;136.23
1020;34.841;85.668;124.75;10.356;-21.105;84.9;70.476;39.454;39.969;35.999;-41.044;30.408;93.602;180.593;128.743
1030;36.938;95.089;136.052;24.192;-8.291;89.137;74.816;39.081;32.952;40.208;-42.413;31.859;96.022;184.764;119.895
1040;40.859;103.88;148.193;36.487;5.158;94.182;77.539;38.691;29.771;43.307;-43.853;33.313;98.999;186.327;113.383
1050;46.997;113.549;158.769;47.361;17.54;99.1;79.088;38.645;28.164;45.41;-45.293;34.729;100.559;186.478;106.571
1060;51.019;123.912;169.221;57.303;31.661;102.088;79.15;38.43;29.063;48.728;-46.731;35.543;100.053;185.693;101.307
