timepoints (min);46: wc-2,- -2;47: wc-2,- -3
3390;-15.716;124.215
3400;-15.712;115.964
3410;-15.708;107.706
3420;-16.51;98.404
3430;-20.353;89.102
3440;-24.196;82.48
3450;-28.149;75.623
3460;-31.992;67.272
3470;-36.794;58.92
3480;-41.597;50.568
3490;-45.683;45.487
3500;-48.888;40.406
3510;-51.614;33.89
3520;-54.65;27.374
3530;-57.396;20.803
3540;-59.382;14.232
3550;-61.651;11.217
3560;-63.92;8.201
3570;-66.492;4.497
3580;-67.425;1.432
3590;-68.13;-1.633
3600;-69.303;-13.156
3610;-68.997;-24.679
3620;-68.643;-32.451
3630;-68.288;-40.223
3640;-67.823;-49.592
3650;-68.09;-58.96
3660;-68.356;-69.225
3670;-68.05;-78.37
3680;-66.903;-86.034
3690;-65.978;-93.189
3700;-65.052;-100.295
3710;-64.037;-106.361
3720;-62.852;-112.428
3730;-61.668;-121.236
3740;-60.483;-129.486
3750;-58.599;-137.735
3760;-57.194;-144.785
3770;-55.79;-152.275
3780;-54.079;-160.488
3790;-51.025;-168.702
3800;-47.971;-179.996
3810;-44.917;-186.57
3820;-43.161;-193.964
3830;-42.006;-201.359
3840;-40.85;-208.753
3850;-39.556;-204.068
3860;-41.662;-199.127
3870;-43.768;-193.779
3880;-43.114;-188.432
3890;-42.13;-180.604
3900;-41.665;-172.928
3910;-41.2;-165.742
3920;-40.244;-158.556
3930;-37.888;-151.25
3940;-35.532;-144.806
3950;-36.175;-138.01
3960;-37.128;-131.214
3970;-37.401;-125.938
3980;-37.674;-116.348
3990;-38.262;-106.757
4000;-39.425;-96.636
4010;-40.588;-86.475
4020;-38.419;-75.301
4030;-35.993;-64.127
4040;-33.567;-53.415
4050;-30.77;-41.343
4060;-27.972;-33.55
4070;-24.45;-25.757
4080;-20.927;-17.964
4090;-18.839;-13.607
4100;-17.902;-12.21
4110;-16.966;-10.661
4120;-13.794;-9.112
4130;-13.383;-7.243
4140;-13.324;-6.734
4150;-11.749;-6.059
4160;-10.174;-5.385
4170;-8.559;-0.71
4180;-7.123;2.254
4190;-7.386;5.342
4200;-4.41;8.43
4210;-1.102;11.519
4220;1.546;11.483
4230;4.194;11.364
4240;7.523;11.246
4250;12.53;11.127
4260;17.537;16.168
4270;18.943;20.486
4280;19.964;24.803
4290;23.037;29.12
4300;25.47;31.797
4310;27.903;33.957
4320;32.123;36.117
4330;36.342;38.277
4340;42.361;40.157
4350;46.286;42.396
4360;50.292;44.428
4370;52.499;46.459
4380;54.706;46.811
4390;56.477;47.004
4400;56.608;47.728
4410;56.739;48.452
4420;60.47;46.457
4430;64.305;44.516
4440;69.459;42.575
4450;75.299;39.062
4460;81.726;34.069
4470;88.432;32.603
4480;95.138;31.137
4490;98.745;29.477
4500;100.521;28.698
4510;102.298;21.905
4520;102.179;15.112
4530;101.819;8.574
4540;100.179;7.036
4550;97.408;6.019
4560;94.637;5.003
4570;89.949;3.986
4580;85.261;3.157
4590;78.301;5.568
4600;73.105;8.91
4610;67.909;12.252
4620;64.273;12.199
4630;60.292;13.505
4640;56.672;14.811
4650;54.611;16.269
4660;52.55;15.981
4670;47.359;14.412
4680;42.167;12.844
4690;34.855;11.276
4700;26.996;10.011
4710;19.13;9.346
4720;8.743;8.681
4730;-1.167;8.017
4740;-8.357;7.593
4750;-15.097;5.33
4760;-21.836;3.066
4770;-26.742;0.803
4780;-31.648;-1.185
4790;-33.713;-8.948
4800;-34.937;-16.71
4810;-36.16;-24.473
4820;-35.183;-32.498
4830;-33.786;-41.003
4840;-30.386;-49.894
4850;-24.666;-58.785
4860;-18.946;-67.669
4870;-14.759;-70.153
4880;-10.571;-73.044
4890;-10.863;-75.935
4900;-12.605;-78.592
4910;-14.72;-76.728
