timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
1020;-16.999;42.857;-144.365;-53.704;249.065;-75.762;-33.092;-179.918;-94.157;-105.452;-151.924;-155.246;299.468;33.276;-131.872
1030;-16.421;44.687;-142.017;-51.357;227.834;-68.751;-26.886;-173.813;-93.118;-106.324;-145.208;-142.475;275.149;25.046;-121.232
1040;-16.493;44.907;-140.213;-50.467;212.12;-62.067;-23.533;-169.16;-92.387;-107.027;-139.467;-131.387;252.693;25.12;-115.587
1050;-16.622;45.22;-136.753;-50.125;198.645;-57.523;-21.339;-164.724;-91.688;-107.711;-134.566;-121.786;232.25;22.895;-110.612
1060;-16.794;45.532;-133.84;-48.861;188.943;-53.525;-19.303;-159.681;-90.974;-108.377;-130.31;-113.407;214.756;20.95;-106.126
1070;-16.868;44.064;-131.227;-47.889;180.479;-50.068;-18.363;-153.573;-90.603;-105.248;-122.479;-105.5;200.53;18.808;-99.705
1080;-16.989;42.792;-128.947;-46.262;170.176;-46.761;-17.201;-148.637;-90.728;-102.462;-115.528;-98.462;190.146;19.001;-93.986
1090;-16.862;41.675;-126.95;-44.837;160.9;-43.613;-14.962;-145.475;-91.175;-100;-109.35;-92.163;180.525;19.225;-88.938
1100;-17.822;39.742;-125.25;-46.284;156.339;-42.236;-13.243;-143.677;-90.104;-97.813;-103.81;-86.007;171.489;21.75;-84.265
1110;-18.718;37.975;-123.793;-47.442;152.827;-40.891;-11.433;-141.818;-86.899;-93.681;-99.409;-80.442;163.302;25.637;-80.064
1120;-19.16;36.785;-122.225;-46.675;144.815;-40.301;-9.913;-140.044;-83.77;-90.171;-95.433;-75.39;154.397;27.915;-75.179
1130;-19.542;35.423;-120.827;-45.798;137.119;-37.411;-5.923;-137.036;-81.173;-87;-91.827;-70.643;147.03;30.381;-71
1140;-19.871;34.146;-120.099;-42.856;129.595;-34.774;-3.191;-133.972;-78.779;-84.125;-88.558;-68.052;141.009;30.327;-67.184
1150;-17.643;32.867;-117.088;-33.519;106.468;-18.321;7.684;-118.214;-72.123;-79.719;-80.815;-55.611;114.744;20.957;-56.319
1160;-15.431;31.712;-114.057;-24.653;87.493;-1.738;16.564;-102.411;-65.379;-75.331;-73.058;-43.163;88.44;11.326;-45.228
1170;-13.235;30.564;-110.534;-20.414;74.962;6.647;19.816;-93.34;-58.408;-70.927;-65.287;-31.949;72.702;16.383;-34.123
1180;-11;28.541;-106.976;-16.329;62.4;10.92;24.303;-85.444;-51.39;-66.507;-57.582;-20.727;55.58;19.912;-22.317
1190;-8.782;26.58;-102.473;-13.098;53.689;16.84;24.516;-82.949;-46.531;-61.511;-49.862;-12.898;37.271;23.409;-13.611
1200;-6.16;24.623;-98.189;-9.583;44.949;16.005;24.849;-80.418;-42.545;-56.335;-41.728;-3.921;24.148;24.451;-7.855
1210;-6.354;22.18;-93.884;-8.211;40.439;15.012;23.354;-76.277;-41.55;-51.149;-33.581;5.068;9.216;25.086;-3.497
1220;-6.565;19.745;-88.621;-7.144;35.914;8.587;22.064;-71.911;-40.466;-45.951;-25.377;8.028;0.914;25.711;-0.203
