timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
900;-364.199;-188.647;-327.995;-285.168;-300.867;-313.256;-254.386;-244.566;-282.279;-95.573;-25.483;-263.529;-153.331;-120.151;-321.895
910;-343.954;-186.718;-311.087;-272.566;-288.154;-299.413;-247.429;-234.359;-271.952;-83.618;-8.396;-235.131;-141.836;-112.766;-301.662
920;-325.947;-184.76;-296.227;-261.133;-276.747;-287.413;-239.48;-226.173;-262.813;-75.373;6.36;-210.653;-132.427;-106.733;-284.333
930;-310.474;-185.674;-283.52;-248.28;-266.556;-275.454;-232.102;-218.99;-253.872;-68.053;20.461;-189.299;-124.132;-101.398;-267.865
940;-296.432;-185.679;-273.838;-236.749;-256.68;-263.628;-225.312;-213.095;-245.289;-60.993;32.348;-170.312;-117.103;-96.657;-253.454
950;-283.261;-184.094;-267.056;-223.885;-247.551;-252.915;-220.017;-207.731;-236.833;-54.338;37.073;-155.372;-111.115;-91.517;-239.919
960;-270.419;-179.974;-261.151;-210.823;-238.415;-242.284;-215.941;-202.755;-229.244;-47.492;40.899;-142.075;-105.672;-85.772;-227.254
970;-258.525;-175.813;-256.75;-198.638;-229.738;-232.6;-211.95;-197.9;-222.462;-40.837;44.513;-130.75;-100.65;-80.813;-216.037
980;-247.855;-171.575;-252.365;-187.203;-220.654;-222.231;-208.282;-193.113;-216.326;-35.228;45.873;-120.737;-94.806;-75.949;-205.494
990;-237.359;-165.807;-247.499;-176.54;-211.611;-212.756;-203.877;-188.778;-210.955;-29.938;47.038;-111.655;-88.848;-71.458;-195.817
1000;-227.477;-159.891;-241.917;-164.956;-203.173;-202.391;-199.187;-184.022;-205.91;-24.963;46.651;-103.465;-83.453;-67.388;-186.765
1010;-218.601;-154.375;-236.577;-154.244;-194.47;-192.845;-194.821;-179.173;-201.095;-20.56;46.292;-95.946;-79.375;-63.518;-178.268
1020;-210.299;-148.892;-231.459;-142.666;-186.224;-183.125;-190.666;-174.824;-195.854;-16.755;44.802;-89.649;-77.191;-60.649;-170.438
1030;-175.349;-132.066;-212.277;-114.907;-160.207;-161.284;-175.135;-159.016;-179.502;2.437;65.544;-58.176;-53.912;-50.874;-140.762
1040;-139.638;-115.803;-191.408;-87.182;-134.113;-139.343;-159.637;-143.658;-162.475;22.243;84.594;-27.19;-30.673;-40.954;-111.013
1050;-103.151;-102.53;-170.492;-64.183;-113.645;-117.09;-148.165;-131.19;-145.504;34.242;92.518;-1.458;-19.015;-31.028;-81.789
1060;-71.368;-94.089;-152.715;-40.99;-91.536;-94.856;-137.834;-122.269;-131.426;48.178;98.57;23.986;-13.34;-20.698;-51.988
1070;-50.604;-85.664;-140.178;-20.644;-76.3;-75.667;-127.536;-112.962;-116.958;57.191;96.756;38.302;-7.66;-10.464;-26.58
1080;-38.258;-75.646;-126.633;-0.322;-59.058;-56.494;-117.52;-106.691;-106.153;67.345;94.901;52.607;-5.118;-4.18;-12.551
1090;-25.763;-66.114;-116.739;18.676;-45.414;-41.959;-107.82;-102.092;-97.012;73.756;88.454;59.626;-3.278;-1.131;2.248
1100;-16.628;-58.687;-108.325;37.637;-32.36;-27.359;-98.16;-97.513;-87.966;79.993;81.968;66.635;-1.527;2.042;10.249
1110;-11.322;-52.338;-102.057;56.874;-18.988;-16.027;-89.787;-93.161;-81.026;83.074;75.179;68.318;-0.183;3.729;15.903
1120;-8.459;-46.084;-94.213;75.638;-7.116;-5.512;-81.314;-88.133;-74.794;83.581;67.356;67.817;0.259;4.781;20.358
1130;-5.467;-39.702;-86.482;94.401;5.333;4.967;-72.74;-82.81;-69.025;83.605;58.76;66.185;0.781;5.755;22.995
1140;-2.914;-31.359;-80.6;112.533;16.844;15.289;-63.003;-79.17;-62.841;82.052;51.257;61.117;0.592;7.353;25.21
1150;1.072;-22.29;-75.283;130.676;29.656;25.598;-52.501;-75.67;-55.882;81.485;44.095;54.795;-0.185;8.798;28.014
1160;5.94;-13.192;-71.106;147.507;42.617;37.164;-40.145;-73.03;-49.419;81.458;34.418;47.202;-0.958;10.281;31.095
1170;11.36;-4.7;-65.75;164.33;57.08;48.72;-28.82;-69.78;-41.84;82.67;24.68;39.59;-1.5;12.51;34.15
1180;17.221;4.743;-59.821;180.242;71.708;61.265;-15.994;-66.066;-33.362;83.504;15.311;34.437;-1.868;15.143;36.377
1190;23.453;13.139;-51.562;196.124;85.627;73.958;-1.678;-59.848;-24.396;83.842;5.882;29.262;-2.281;17.867;38.095
1200;29.515;21.048;-42.579;210.544;99.457;86.729;13.211;-53.327;-15.981;83.885;2.572;26.992;-2.52;19.53;39.124
1210;35.078;27.116;-32.777;222.813;112.742;99.252;26.332;-44.324;-6.489;83.294;-0.795;24.699;-2.665;19.675;39.801
1220;40.507;33.756;-20.107;235.072;125.935;111.764;38.8;-32.581;5.067;82.69;-2.89;24.211;-2.853;19.762;40.568
1230;45.953;41.302;-7.892;244.702;138.541;123.134;51.243;-21.269;16.531;82.502;-3.219;23.948;-4.096;19.271;41.531
1240;50.615;47.653;4.359;254.444;149.925;134.498;65.361;-8.582;29.775;81.821;-3.208;25.425;-6.134;18.928;42.303
1250;54.969;54.812;15.373;258.657;160.456;142.889;80.787;3.092;43.647;81.209;-0.943;27.671;-8.158;18.588;43.843
1260;59.426;62.539;26.792;262.842;170.072;149.592;96.189;14.378;57.081;81.021;1.259;29.899;-9.39;17.557;45.132
1270;63.747;69.527;37.785;263.315;179.556;155.413;112.973;24.678;69.956;81.131;4.749;31.569;-9.051;17.48;46.829
1280;68.385;77.625;49.405;262.283;187.761;158.905;127.781;35.721;83.383;81.347;8.178;33.226;-9.141;17.885;48.308
1290;72.626;86.059;59.551;261.076;196.32;162.291;142.565;47.197;96.445;80.776;13.137;35.11;-8.604;18.781;49.695
1300;76.164;92.286;69.525;258.608;203.788;164.401;156.301;61.137;109.446;80.155;18.04;36.987;-7.372;20.215;51.048
1310;79.643;101.076;81.247;256.138;208.428;166.505;170.064;75.382;123.209;77.598;23.861;40.499;-5.612;21.367;52.136
1320;83.197;109.341;94.417;251.689;211.228;168.313;183.894;89.205;135.682;74.911;30.301;44.807;-3.722;22.527;52.95
1330;86.999;116.231;107.029;247.358;212.245;170.114;197.863;101.645;146.192;70.959;34.729;48.106;-2.505;23.22;52.995
1340;90.814;122.969;119.101;240.817;212.015;170.356;211.708;113.714;156.225;65.959;37.758;50.801;-2.763;23.591;52.364
1350;94.901;128.85;130.318;234.256;211.028;169.792;224.611;125.671;166.169;60.882;40.741;53.492;-2.973;23.954;51.139
1360;99.396;134.155;141.672;225.888;209.073;169.179;238.174;137.189;175.732;55.24;45.245;56.729;-3.907;24.202;49.495
1370;104.855;139.817;151.717;216.863;207.043;167.525;249.593;148.898;185.403;52.013;49.712;59.967;-4.155;24.13;48.898
1380;110.444;145.579;160.53;207.747;204.183;165.867;258.838;159.703;194.914;49.305;55.296;64.056;-4.423;23.975;48.547
1390;116.256;151.002;170.305;197.176;200.437;162.988;267.025;171.202;203.099;47.819;60.852;68.149;-3.822;22.796;48.731
1400;121.948;156.841;179.203;186.517;195.391;160.105;271.167;183.059;210.183;47.177;66.136;72.663;-2.817;22.619;48.879
1410;126.844;164.218;189.95;174.645;189.938;155.058;270.753;195.179;216.037;45.874;71.485;76.839;-1.823;22.42;49.27
1420;131.272;172.2;200.824;162.632;182.8;150.608;270.328;208.12;220.16;44.896;76.536;81.368;-1.216;22.672;49.632
1430;135.726;181.866;210.865;149.288;174.976;144.402;266.649;220.134;221.881;44.26;80.578;83.849;0.476;22.727;50.078
1440;139.629;191.839;217.973;135.534;167.217;138.075;260.705;230.208;222.578;42.99;84.364;88.403;2.15;22.652;50.672
1450;143.095;201.599;225.42;121.723;160.162;131.627;254.744;238.23;222.147;41.95;86.581;91.048;6.437;22.745;51.36
