timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
900;-343.028;-326.42;-379.008;-215.654;-169.163;-137.19;-91.494;-179.65;-188.215;-291.823;-442.585;-188.209;-67.185;-209.897;-146.448
910;-336.591;-330.591;-369.396;-206.264;-156.145;-128.114;-86.386;-171.651;-186.896;-270.305;-418.255;-169.983;-55.292;-199.674;-136.975
920;-331.24;-337.267;-361.28;-197.893;-144.88;-120.28;-82.227;-164.267;-187.093;-251.76;-394.493;-154.133;-44.04;-190.107;-129.107
930;-326.566;-343.461;-353.609;-188.773;-135.385;-113.372;-79.605;-158.036;-187.178;-237.365;-373.72;-140.332;-34.072;-181.885;-122.03
940;-322.574;-348.953;-345.773;-180.539;-127.036;-107.335;-77.17;-152.336;-185.742;-224.718;-353.857;-128.116;-25.388;-174.065;-114.667
950;-318.983;-350.919;-337.261;-171.427;-119.739;-102.021;-74.556;-147.299;-184.799;-214.491;-334.338;-117.342;-17.192;-166.534;-107.628
960;-316.01;-347.514;-330.057;-163.133;-113.247;-97.54;-72.071;-142.412;-182.171;-205.234;-316.487;-106.658;-9.784;-159.113;-101.384
970;-313.013;-341.35;-323.65;-154.238;-106.85;-93.575;-69.212;-138.012;-180.138;-196.975;-298.638;-96.95;-3.012;-152.5;-95.675
980;-309.748;-335.928;-317.363;-146.064;-101.104;-89.966;-66.75;-133.556;-177.284;-188.547;-282.012;-86.67;3.381;-146.129;-90.501
990;-306.558;-329.125;-311.835;-137.288;-95.577;-86.764;-64.722;-129.642;-174.592;-180.926;-265.977;-76.955;8.938;-140.253;-85.759
1000;-302.587;-321.024;-305.83;-129.158;-90.564;-83.617;-62.97;-125.973;-170.726;-172.336;-251.135;-67.484;13.432;-134.909;-81.248
1010;-298.125;-313.69;-299.685;-119.28;-85.5;-80.804;-61.726;-122.214;-166.714;-162.946;-237.464;-58.369;17.054;-129.53;-77.012
1020;-293.417;-306.104;-292.922;-110.094;-80.612;-78.132;-60.692;-118.753;-163.184;-154.329;-225.546;-49.88;20.459;-124.489;-72.986
1030;-280.046;-288.968;-268.442;-88.96;-62.051;-62.71;-52.311;-99.365;-154.956;-116.674;-192.939;-16.358;40.664;-101.848;-60.283
1040;-265.454;-271.818;-242.193;-68.001;-43.543;-47.035;-43.826;-79.982;-144.717;-78.736;-160.398;16.827;61.014;-79.181;-47.454
1050;-250.365;-256.78;-222.972;-49.796;-25.347;-31.336;-38.971;-67.715;-138.18;-50.201;-128.307;38.304;71.846;-62.981;-34.58
1060;-235.095;-244.488;-208.896;-31.635;-12.92;-24.18;-33.961;-55.865;-130.308;-23.123;-95.566;59.412;78.927;-52.452;-21.668
1070;-219.1;-232.209;-194.111;-15.224;-0.489;-17;-27.944;-50.844;-122.349;-7.644;-67.74;73.169;81.927;-41.747;-8.84
1080;-205.124;-220.006;-181.411;-1.881;5.993;-13.152;-23.972;-45.713;-115.002;1.483;-39.902;82.225;84.689;-33.157;0.79
1090;-194.835;-207.545;-169.716;11.514;12.475;-9.289;-18.677;-43.053;-108.172;9.965;-19.256;91.967;86.913;-25.992;6.891
1100;-187.617;-195.151;-157.904;23.637;17.018;-6.97;-16.223;-41.718;-100.272;14.341;-3.603;98.509;87.777;-20.108;12.919
1110;-179.337;-182.525;-143.458;36.337;21.565;-4.02;-12.808;-40.383;-93.868;18.652;12.864;104.694;88.294;-14.096;16.59
1120;-171.032;-169.436;-128.758;49.12;24.28;-1.661;-10.737;-39.756;-84.878;21.072;25.493;110.284;88.545;-8.368;19.272
1130;-162.627;-156.342;-113.023;62.682;27.005;1.136;-9.066;-39.134;-76.294;23.401;38.035;115.109;87.921;-3.95;21.46
1140;-152.805;-142.345;-96.045;75.614;27.894;3.7;-7.16;-36.378;-66.207;26.786;48.355;119.668;86.511;0.38;23.596
1150;-141.509;-124.356;-80.231;88.566;28.796;6.213;-5.499;-32.815;-54.173;29.677;56.871;123.738;85.428;5.267;25.533
1160;-127.447;-106.025;-65.286;100.299;29.352;8.449;-2.921;-28.462;-40.961;32.705;65.29;126.732;84.744;9.778;27.891
1170;-113.4;-85.96;-50.05;111.29;29.92;10.64;0.81;-22.33;-26.41;36;72.26;129.23;83.81;13.75;30.01
1180;-97.975;-66.28;-35.522;121.122;30.761;12.551;5.114;-16.08;-11.004;40.173;79.242;131.718;82.351;17.733;31.97
1190;-83.822;-44.989;-20.835;130.416;31.613;14.481;8.371;-8.528;3.479;44.902;85.727;133.952;81.095;21.317;33.707
1200;-69.9;-26.045;-7.136;138.228;32.57;16.41;11.115;-0.982;20.579;50.259;90.787;136.412;79.34;24.672;35.207
1210;-57.068;-9.768;6.875;146.187;33.541;18.077;12.977;6.148;36.414;56.019;96.632;138.927;77.618;27.636;36.523
1220;-45.187;5.025;19.322;153.164;33.903;19.743;14.276;14.118;54.907;61.924;100.977;142.503;75.589;30.609;37.394
1230;-32.235;19.762;30.589;160.288;34.277;22.112;15.493;21.915;72.763;66.984;106.029;145.306;72.815;33.183;38.127
1240;-19.33;33.49;41.85;166.573;33.984;24.474;16.737;30.531;90.674;72.037;110.863;147.695;70.227;35.932;38.714
1250;-6.369;45.264;54.053;172.206;33.701;26.471;18.58;39.056;107.512;75.596;115.75;148.018;68.486;38.744;39.497
1260;7.608;56.997;65.894;175.517;32.208;29.046;20.395;45.83;122.401;77.935;120.827;147.978;67.275;41.074;40.544
1270;20.724;67.976;76.455;177.536;30.724;31.531;22.616;52.593;137.625;80.549;126.633;146.616;65.147;42.94;41.38
1280;32.086;79.891;86.196;176.037;28.008;33.404;24.854;58.902;151.02;82.027;132.989;144.86;61.783;44.772;42.175
1290;43.629;91.78;94.057;174.046;25.284;35.027;27.508;65.341;162.408;83.356;139.176;142.157;57.899;46.53;42.297
1300;55.588;103.453;101.898;171.045;22.927;36.358;30.635;71.886;172.167;84.471;145.24;139.033;54.287;48.047;42.431
1310;67.639;115.213;109.551;167.995;20.764;37.32;33.604;76.034;180.572;86.964;150.416;136.486;50.441;48.595;42.711
1320;80.137;127.028;117.29;166.603;19.685;37.358;35.922;80.647;187.308;89.383;154.859;133.643;45.649;49.056;43.07
