timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;;41: wc-1-.1;42: wc-1-.3
1540;-38.119;-21.265;59.617;53.05;-108.134;73.088;-21.313;-24.01;-53.579;28.696;-5.8;;-97.291;-7.823
1550;-42.793;-25.313;53.615;55.357;-109.953;70.032;-24.64;-22.53;-52.64;33.74;-3.353;;-96.852;-8.09
1560;-47.363;-31.374;51.298;59.094;-111.91;65.407;-26.914;-22.585;-52.33;38.778;-1.479;;-97.482;-7.8
1570;-51.395;-38.263;49.005;64.605;-110.529;59.571;-28.941;-23.011;-51.833;42.587;-1.111;;-97.547;-7.425
1580;-51.802;-43.286;49.207;69.105;-109.364;53.005;-31.551;-21.786;-49.58;45.716;-0.723;;-97.008;-7.189
1590;-53.145;-47.858;49.021;74.322;-107.926;46.785;-34.043;-20.051;-47.388;48.837;-1.023;;-97.255;-8.06
1600;-54.2;-48.68;48.952;77.008;-105.768;45.944;-35.896;-18.064;-45.032;52.096;0.32;;-94.192;-8.832
1610;-53.641;-53.121;45.871;79.651;-105.399;50.605;-37.415;-18.747;-43.843;55.86;3.593;;-89.942;-9.787
1620;-52.062;-54.904;37.324;76.852;-106.434;53.551;-38.99;-19.293;-40.318;59.979;8.291;;-87.834;-10.043
1630;-50.744;-55.334;31.271;78.155;-106.849;53.727;-40.307;-19.684;-36.272;63.901;13.315;;-87.091;-10.358
1640;-49.984;-56.826;25.253;81.592;-106.498;52.085;-40.72;-18.908;-34.136;68.705;17.94;;-84.549;-10.638
1650;-47.006;-61.831;4.4;83.312;-104.209;49.548;-41.065;-17.691;-31.388;72.069;21.375;;-82.032;-10.343
1660;-45.159;-64.14;-0.162;89.943;-101.769;47.394;-41.346;-16.519;-28.934;75.43;23.884;;-81.649;-9.521
1670;-41.927;-63.812;-0.012;95.795;-96.995;45.333;-41.542;-16.54;-25.374;77.912;25.099;;-83.522;-9.725
1680;-40.823;-60.91;0.162;100.985;-90.103;43.287;-42.18;-17.463;-21.926;79.813;26.001;;-86.324;-11.073
1690;-38.773;-59.667;0.219;100.061;-85.318;40.187;-43.653;-18.453;-18.493;81.711;27.296;;-86.668;-11.455
1700;-36.366;-59.721;3.046;98.037;-82.367;35.415;-45.708;-19.856;-15.489;83.65;29.661;;-88.317;-11.612
1710;-32.819;-58.649;5.905;96.653;-78.499;30.44;-47.233;-21.216;-13.674;85.368;32.854;;-88.173;-12.076
1720;-34.021;-54.404;7.089;94.056;-74.461;25.803;-48.341;-21.846;-12.667;87.083;35.544;;-87.329;-11.999
1730;-37.484;-50.618;5.778;89.056;-66.377;22.367;-47.243;-22.645;-11.342;87.931;36.058;;-86.758;-12.877
1740;-38.45;-47.097;4.065;80.469;-55.592;20.546;-42.636;-24.433;-8.329;88.333;35.634;;-85.77;-13.061
1750;-36.591;-46.534;2.38;71.483;-43.986;20.484;-38.167;-25.803;-3.873;88.733;35.537;;-83.167;-14.667
1760;-34.598;-47.869;3.213;63.514;-29.925;20.501;-35.79;-27.546;0.822;88.649;36.544;;-81.468;-15.524
1770;-32.64;-48.692;4.405;55.587;-12.495;22.198;-34.69;-28.304;3.843;90.554;39.446;;-77.788;-14.863
1780;-29.928;-48.193;5.396;48.348;5.668;23.939;-32.634;-28.002;5.739;92.46;43.576;;-73.336;-13.434
1790;-27.955;-48.909;4.852;40.931;21.719;26.796;-29.651;-26.644;6.189;94.069;47.623;;-71.954;-13.75
1800;-22.084;-51.45;3.96;35.869;38.611;31.945;-28.335;-25.03;9.226;96.432;47.746;;-68.604;-15.28
1810;-16.447;-58.291;-3.581;28.647;52.026;36.535;-30.065;-24.399;11.895;96.563;45.226;;-68.121;-18.088
1820;-11.419;-62.812;-11.121;19.799;62.183;40.519;-29.476;-24.432;14.073;97.652;44.077;;-71.16;-19.072
1830;-10.331;-67.832;-23.178;12.074;65.746;46.055;-28.259;-25.374;15.781;96.761;43.03;;-77.185;-18.919
1840;-8.67;-71.44;-32.155;3.109;71.578;48.999;-27.563;-25.19;16.545;93.83;41.702;;-80.723;-17.851
1850;-5.883;-79.844;-41.352;-3.556;77.734;47.101;-26.159;-24.665;18.266;89.828;39.055;;-86.967;-18.276
1860;2.697;-81.459;-47.626;-10.163;83.992;41.494;-24.669;-21.913;20.288;86.214;34.326;;-94.115;-19.89
1870;12.174;-83.923;-54.417;-11.301;91.901;37.745;-24.997;-19.789;21.953;83.4;27.328;;-98.241;-21.154
1880;23.459;-81.986;-62.015;-16.04;101.89;34.41;-27.116;-17.865;23.332;80.586;19.908;;-100.361;-22.924
1890;35.61;-78.21;-69.614;-22.298;114.993;33.068;-29.612;-16.619;24.451;76.177;14.679;;-102.462;-23.21
1900;46.137;-71.69;-76.079;-26.458;128.921;31.141;-30.425;-15.628;25.004;73.513;10.845;;-101.745;-23.309
1910;56.505;-66.163;-83.059;-36.359;143.67;27.978;-30.938;-14.28;25.05;70.85;6.692;;-98.102;-24.037
1920;58.382;-62.48;-93.777;-45.863;157.101;24.186;-31.603;-12.946;25.236;69.043;1.782;;-95.327;-23.88
1930;68.131;-64.877;-103.015;-53.735;165.988;22.639;-32.535;-11.281;25.535;67.233;-2.859;;-95.175;-24.628
1940;73.492;-64.193;-113.737;-53.236;176.755;20.466;-33.772;-9.553;26.669;65.423;-7.192;;-95.207;-26.577
1950;77.506;-63.334;-123.35;-50.417;184.491;19.844;-34.694;-6.908;27.113;63.217;-12.297;;-92.753;-29.903
1960;75.705;-65.637;-132.964;-48.692;190.166;18.073;-34.728;-4.337;28.757;59.756;-18.368;;-90.545;-31.109
1970;80.67;-65.261;-139.33;-46.19;195.978;14.506;-35.006;-1.844;31.523;56.295;-24.186;;-88.261;-31.459
1980;85.794;-64.752;-141.241;-43.88;205.066;10.411;-37.228;-0.018;34.91;51.07;-29.625;;-85.014;-31.217
1990;90.437;-54.303;-142.178;-38.153;214.389;6.247;-42.099;1.108;36.59;46.894;-34.526;;-81.774;-32.203
2000;89.953;-42.709;-141.418;-32.014;220.657;3.393;-47.312;3.719;37.532;42.717;-39.143;;-78.932;-32.585
2010;91.84;-28.154;-140.069;-27.48;225.19;1.698;-49.796;7.014;37.487;39.688;-44.735;;-75.418;-30.557
2020;94.706;-14.548;-138.247;-25.008;224.263;1.378;-50.75;8.559;39.08;34.87;-51.646;;-73.797;-28.612
2030;97.992;1.657;-136.425;-22.924;220.448;1.335;-52.441;9.735;39.808;29.833;-59.807;;-73.429;-25.742
2040;101.574;14.273;-131.288;-19.971;216.943;1.397;-53.377;9.063;39.865;24.887;-66.961;;-69.535;-23.211
2050;104.28;27.45;-123.961;-17.999;213.022;0.554;-52.714;7.932;37.258;19.526;-70.486;;-67.57;-21.479
2060;104.025;41.379;-119.316;-16.019;210.796;-0.858;-53.379;7.997;35.88;14.899;-74.125;;-65.268;-18.801
2070;107.435;54.259;-114.484;-15.534;212.09;-4.077;-56.023;9.632;36.677;9.143;-76.699;;-58.425;-17.419
2080;113.463;67.852;-108.792;-14.757;219.902;-9.041;-58.12;11.983;37.903;5.063;-77.858;;-45.105;-17.643
2090;118.252;80.966;-99.84;-14.723;224.372;-12.411;-59.051;14.328;38.913;3.277;-78.386;;-32.647;-20.605
2100;120.876;94.557;-90.888;-15.435;228.229;-14.051;-60.277;16.659;39.71;1.491;-78.692;;-24.946;-16.851
2110;119.367;103.808;-81.166;-15.894;228.112;-15.428;-61.448;17.632;40.11;-1.916;-79.488;;-19.097;-12.066
2120;118.017;110.884;-71.389;-15.033;225.31;-18.072;-59.186;18.181;39.542;-6.171;-79.244;;-12.575;-9.956
2130;115.761;112.72;-58.137;-13.902;218.869;-22.861;-55.486;18.43;38.709;-10.426;-77.829;;-4.386;-7.368
2140;114.448;111.737;-44.884;-12.949;207.229;-27.128;-52.077;19.674;36.422;-14.483;-78.257;;5.51;-0.974
2150;113.061;113.236;-31.8;-12.102;192.388;-30.303;-49.061;20.35;34.314;-19.517;-78.783;;15.117;4.815
2160;111.432;116.516;-20.251;-10.825;177.608;-33.124;-46.142;19.692;32.801;-24.552;-76.963;;23.203;8.397
2170;116.451;121.236;-8.557;-8.612;161.117;-35.098;-43.33;18.992;32.89;-29.498;-73.109;;33.655;9.636
2180;115.589;128.47;0.463;-7.999;147.068;-37.837;-40.415;18.215;33.913;-34.426;-69.607;;49.921;10.683
2190;114.32;134.108;9.032;-10.229;131.058;-39.855;-36.778;16.91;35.103;-39.354;-65.983;;66.728;12.006
2200;113.741;141.036;20.305;-13.959;117.481;-41.174;-33.057;14.044;37.36;-44.086;-63.17;;79.463;14.226
2210;115.857;149.244;31.578;-16.968;105.244;-42.171;-29.572;11.19;38.585;-47.44;-60.374;;90.866;16.754
2220;115.171;154.523;45.734;-19.901;92.727;-43.644;-25.476;8.902;38.381;-50.794;-56.844;;101.206;19.255
2230;115.815;157.24;56.417;-21.57;76.763;-45.121;-20.548;7.614;36.339;-52.421;-51.926;;109.015;22.495
2240;115.457;152.299;67.058;-22.92;59.335;-47.557;-15.503;6.432;34.822;-54.657;-45.948;;114.954;25.848
2250;117.75;147.679;78.04;-24.132;43.079;-52.192;-10.833;3.513;32.836;-56.423;-38.902;;120.657;28.801
2260;120.513;142.199;86.811;-25.257;25.094;-58.001;-7.374;0.101;31.274;-58.299;-31.258;;126.356;28.386
2270;125.301;136.811;91.592;-26.422;9.113;-64.921;-4.528;-1.326;28.828;-58.899;-23.451;;131.524;26.531
2280;128.337;129.392;96.372;-26.938;-4.928;-72.738;-1.487;-2.014;26.901;-59.366;-15.806;;137.996;25.007
